SMILES,Agonist_Activity
C1=CN=C(C=N1)C(=O)N,Inactive
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,Inactive
C1=CC=C(C=C1)/C=C/C(=O)O,Inactive
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,Inactive
CC1(C2CCC1(C(C2)O)C)C,Inactive
CCCCCCCC(=O)O,Inactive
CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,Inactive
CCCCCC/C=C\CCCCCCCC(=O)O,Inactive
C1=CC2=C(C(=C1)O)C(=O)C3=C([C@@H]2[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C=C(C=C3O)CO,Inactive
CC(=O)OC1CC2CCC1(C2(C)C)C,Inactive
CC1=C(C(=NC=C1COP(=O)(O)O)C)O,Inactive
CC(=CCC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/CCC=C(C)C)\C)\C)\C)/C)/C)/C)C,Inactive
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,Inactive
C1=C(C=C(C(=C1O)O)O)C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O,Inactive
C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=C3[C@@H]([C@H](OC3=C(C=C2)O)C4=CC(=C(C=C4)O)O)C(=O)O)O)O,Inactive
CC1=CC[C@@H](CC1)C(=C)C,Inactive
CCC(/C=C/[C@@H](C)[C@H]1CCC2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Inactive
