SMILES,Agonist_Activity,SMILES_raw
CCC(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,CCC(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl
Clc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl
CON(C)C(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,CN(C(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl)OC
CC(c1ccccc1)n1cc(-c2c(-c3ccc(Cl)cc3)nc3ccccn23)nn1,active,CC(C1=CC=CC=C1)N2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl
Clc1ccc(Cn2cc(-c3c(-c4ccc(Cl)c(Cl)c4)nc4ccccn34)nn2)cc1Cl,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC(=C(C=C5)Cl)Cl
Clc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccccn3)nn2)cc1,active,C1=CC=NC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl
N#Cc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC=C(C=C4)C#N)C5=CC=C(C=C5)Cl
O=S(=O)(c1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1)N1CCCC1,inactive,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)CN3C=C(N=N3)C4=C(N=C5N4C=CC=C5)C6=CC=C(C=C6)Cl
Clc1ccc(-c2nc3sccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1,active,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C4=CN(N=N4)CC5=CC(=C(C=C5)Cl)Cl)Cl
O=C(O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,inactive,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)C(=O)O)C5=CC=C(C=C5)Cl
