CID,SMILES,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),SMILES_raw
7248.0,Cc1ccc(N)cc1C,active,3.670960647,35.8428383,inactive,,0.0,CC1=C(C=C(C=C1)N)C
12855.0,c1ccc(-c2nc3ccccc3[nH]2)cc1,active,3.711861321,36.75795159,inconclusive antagonist,68.5896,-30.7101,C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2
11285653.0,CO/C=C(/C(=O)OC)c1ccccc1COc1cccc(C(F)(F)F)n1,active,3.853155768,68.55964257,active antagonist,5.65566,-45.4537,CO/C=C(\C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)/C(=O)OC
2361.0,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,active,3.857077887,119.2665027,inactive,,0.0,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43
3334.0,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,active,3.857077887,26.22031067,inactive,,0.0,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3
9570475.0,CC(=NO)c1ccc(OCC(=O)N2CCCCC2)cc1,active,3.90481751,37.57268069,inactive,,0.0,C/C(=N\O)/C1=CC=C(C=C1)OCC(=O)N2CCCCC2
10455790.0,O=C(NC1N=C(c2ccccc2F)c2cccc3c2N(CC3)C1=O)c1cc2ccccc2[nH]1,active,3.90481751,30.62891085,inactive,,0.0,C1CN2C(=O)[C@@H](N=C(C3=CC=CC1=C32)C4=CC=CC=C4F)NC(=O)C5=CC6=CC=CC=C6N5
10771.0,Nc1ccc(N=Nc2ccccc2)c(N)c1,active,3.922534661,46.39103322,active antagonist,47.5226,-68.1694,C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)N)N.Cl
72416.0,CCO[C@H]1O[C@@H]2OC3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,active,4.21632496,77.39977876,inactive,,0.0,CCO[C@@H]1[C@@H]([C@@H]2CC[C@H]([C@H]3[C@]24[C@H](O1)OC(CC3)(OO4)C)C)C
6731.0,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,active,4.285033921,86.54986226,inactive,,0.0,C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O
66166.0,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,active,4.497022655,40.83280754,inactive,,0.0,CCC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
5273469.0,O=C(/C=C/c1ccccc1)OCc1ccccc1,active,4.855773367,22.28936251,inactive,,0.0,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2
24744.0,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,active,4.855773367,39.62497378,inactive,,0.0,CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC
