Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB maestra,ID_concatenada,DB source,DB subsource,Risk assessment class,Human eco,Species ,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,Reference DB source,URL,,ToxVal_ID,Chemical_ID
,2-Methyl-6-methylene-7-octen-2-ol,543-39-5,CC(C)(CCCC(C=C)=C)O,DTXSID5027192,,46,46_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,5000,mg/kg,154.252,0.0324,1.4893,,"Moreno 0. M. (1972b) Acute toxicity studies in rats and rabbits, Unpublished report to RIFM.",https://chemview.epa.gov/chemview/,,173544,ToxVal00045_789df4e9ee4dafbd
,Trisodium citrate,68-04-2,[O-]C(CC(CC([O-])=O)(C([O-])=O)O)=O.[Na+].[Na+].[Na+],DTXSID2026363,,47,47_HPVIS,HPVIS,-,acute,human health,mouse,injection,=,1364,mg/kg,258.069,0.0053,2.2769,,J. of Pharmacol. Exp. Therapeutics. 1948. 94:65. In Registry of Toxic Effects of Chemical Substances. 1999. Trisodium citrate. National Institute for Occupational Safety and Health.,https://chemview.epa.gov/chemview/,,173546,ToxVal00045_1f3dd4d550023dfe
,Hexanedioic acid,124-04-9,OC(CCCCC(O)=O)=O,DTXSID7021605,,48,48_HPVIS,HPVIS,-,acute,human health,rat,oral,=,5050,mg/kg,146.141,0.0346,1.4615,,"Solutia Inc. (1975). Unpublished Data, YO-75-187, .Toxicological Investigation of Adipic Acid. (August).deBeer, E.J. (1945). J. Pharmacol. Experimen. Ther., 85:1.",https://chemview.epa.gov/chemview/,,173547,ToxVal00045_5a61af8b8ea1dafe
,Resorcinol,108-46-3,Oc1cccc(O)c1,DTXSID2021238,,49,49_HPVIS,HPVIS,-,acute,human health,rat,oral,=,301,mg/kg,110.112,0.0027,2.5633,,"Ind. Bio-Test Lab. Inc. (1970): BIO-FAX 11-4/70; zitiert in: Lloyd et al. (1977): Food Cosmet. Toxicol. 15, 607-610",https://chemview.epa.gov/chemview/,,173550,ToxVal00045_2ffa02730e38a47f
,Ethylenebis(oxyethylene) dibenzoate,120-56-9,O=C(c1ccccc1)OCCOCCOCCOC(c1ccccc1)=O,DTXSID7029611,,50,50_HPVIS,HPVIS,-,acute,human health,rat,dermal,>,2000,mg/kg,358.389,0.0056,2.2533,,Benzoflex S-358 Acute Dermal LD5O. Huntingdon Life Sciences. 1998.,https://chemview.epa.gov/chemview/,,173551,ToxVal00045_7fc75777cefb8a96
,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",1222-05-5,CC1C(C)(C)c2cc(C(C)COC3)c3cc2C1(C)C,DTXSID8027373,,51,51_HPVIS,HPVIS,-,acute,human health,rat,oral,>,3.25,-,258.403,0.0000,4.9004,,"Moreno, O.M. 1975. Galaxolide 50: acute oral toxicity in rats; dermal toxicity in rabbits. Project No. MB 75-770. MB Research Report to the Research Institute for Fragrance Materials, Inc. (RIFM).Ford RA, 1998. The human safety of the polycyclic musks, AHTN and HHCB in fragrances - A review, Dtsch, Lebens. Rdsch., 98(8), 268-275.",https://chemview.epa.gov/chemview/,,173554,ToxVal00045_7d604c70cecaf4eb
,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",1222-05-5,CC1C(C)(C)c2cc(C(C)COC3)c3cc2C1(C)C,DTXSID8027373,,52,52_HPVIS,HPVIS,-,acute,human health,rat,dermal,>,5,-,258.403,0.0000,4.7133,,"Ford RA, 1998. The human safety of the polycyclic musks, AHTN and HHCB in fragrances - A review, Dtsch, Lebens. Rdsch., 98(8), 268-275.",https://chemview.epa.gov/chemview/,,173555,ToxVal00045_7d604c70cecaf4eb
,"Zinc, bis[O,O-bis(2-ethylhexyl) phosphorodithioato-.kappa.S,.kappa.S']-, (T-4)-",4259-15-8,,DTXSID5027566,,53,53_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,5000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,This robust summary was prepared from an unpublished study by an individual member company of the HERTG (the underlying study contains confidential business information).,https://chemview.epa.gov/chemview/,,173556,ToxVal00045_e84c1dc9a4db0104
,Vinyltoluene,25013-15-4,C=CCc1ccccc1,DTXSID6026292,,54,54_HPVIS,HPVIS,-,acute,human health,rat,oral,~,4,-,118.178,0.0000,4.4705,,"Wolf, M.A., Rowe, V.K., McCollister, D.D., Hollingsworth, R.L., and Oyen, F. (1956) Toxicological studies of certain alkylated benzenes and benzene. Am. Med. Assoc. Arch. Ind. Health 14:387-398.",https://chemview.epa.gov/chemview/,,173557,ToxVal00045_abde85d409e9dbfb
,2-Nitropropane,79-46-9,CC(C)[N+]([O-])=O,DTXSID6020981,,55,55_HPVIS,HPVIS,-,acute,human health,mouse,oral,=,0.4,-,89.0936,0.0000,5.3478,,Hite M and Skeggs H. 1979. Mutagenic evaluation of nitroparaffins in the Salmonellatyphimurium/ mammalian-microsome test and the micronucleus test. Environ Mutagen 1:383-389.,https://chemview.epa.gov/chemview/,,173558,ToxVal00045_f2b5752b32fa44ca
