Structure,Molecule name,CAS,SMILES,ID_base,,ID_asignado,ID_concatenado,DB source,DB soubsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Mode of action,Data Base source reference
,Simeconazole,,C[Si](C)(C)CC(CN1C=NC=N1)(C2=CC=C(C=C2)F)O,1204,,#¡REF!,198_PPDB,PPDB,,acute,,rat,oral,=,611,mg/kg,293.417,0.0021,2.6814,"Broad antifungal activity, systemic, absorbed by roots and translocates, sterol demethylation inhibitor",
,Edifenphos (Ref: BAY 78418),,CCOP(=O)(SC1=CC=CC=C1)SC2=CC=CC=C2,1205,,#¡REF!,199_PPDB,PPDB,,acute,,rat,oral,=,150,mg/kg,310.377,0.0005,3.3158,"Phospholipid biosynthesis inhibition, foliar applied with protective and curative action",
,Oxpoconazole fumarate (Ref: UR 50302),,CC1(COC(N1C(=O)N2C=CN=C2)(C)CCCC3=CC=C(C=C3)Cl)C.CC1(COC(N1C(=O)N2C=CN=C2)(C)CCCC3=CC=C(C=C3)Cl)C.C(=CC(=O)O)C(=O)O,1206,,#¡REF!,200_PPDB,PPDB,,acute,,rat,oral,=,1035,mg/kg,839.815,0.0012,2.9092,"Systemic, curative with residual activity, inhibits ergosterol biosynthesis",
,Iprobenfos,,CC(C)OP(=O)(OC(C)C)SCC1=CC=CC=C1,1207,,#¡REF!,201_PPDB,PPDB,,acute,,rat,oral,=,680,mg/kg,288.347,0.0024,2.6274,"Systemic, with both curative and protective properties. Absorbed through roots and translocated. Phospholipid biosynthesis inhibitor",
,Metominostrobin (Ref: SSF 126),,CNC(=O)C(=NOC)C1=CC=CC=C1OC2=CC=CC=C2,1211,,#¡REF!,205_PPDB,PPDB,,acute,,rat,oral,=,708,mg/kg,284.314,0.0025,2.6038,"Systemic with broad-spectrum curative and protectant activity, inhibits respiratory electron transfer. Respiration inhibitor (QoL fungicide).",
,Tecloftalam (Ref: SF 7402),,C1=CC(=C(C(=C1)Cl)Cl)NC(=O)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)C(=O)O,1214,,#¡REF!,208_PPDB,PPDB,,acute,,rat,oral,=,2340,mg/kg,447.916,0.0052,2.2820,Inhibits the growth of bacteria,
,Diflumetorim (Ref: UBF 002),,CCC(C1=CC=C(C=C1)OC(F)F)NC2=NC=NC(=C2Cl)C,1216,,#¡REF!,210_PPDB,PPDB,,acute,,rat,oral,=,448,mg/kg,327.761,0.0014,2.8643,"Protectant and curative activity, inhibition of complex I NADH Oxido-reductase.",
,Flumorph (Ref: SYP L190),,COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)F)OC,1217,,#¡REF!,211_PPDB,PPDB,,acute,,rat,oral,=,2710,mg/kg,371.407,0.0073,2.1369,"Systemic, displays protectant, curative and antisporulant activity, though to disturb the polar deposition of newly synthesized cell wall material",
,Methasulfocarb (Ref: NK 191),,CNC(=O)SC1=CC=C(C=C1)OS(=O)(=O)C,1218,,#¡REF!,212_PPDB,PPDB,,acute,,rat,oral,=,112,mg/kg,261.321,0.0004,3.3680,Growth retarding activity,
,Bentaluron (Ref: CGA 18734),,CC(C)NC(=O)NC1=NC2=CC=CC=C2S1,1254,,#¡REF!,215_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,235.31,#¡VALOR!,#¡VALOR!,Unknown,
,Cyprofuram (Ref: SN 78314),,C1CC1C(=O)N(C2CCOC2=O)C3=CC(=CC=C3)Cl,1286,,#¡REF!,216_PPDB,PPDB,,acute,,rat,oral,=,174,mg/kg,279.722,0.0006,3.2062,"Systemic, inhibits zoospore release",
,Chlordecone (Ref: ENT 16391),,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,1293,,#¡REF!,219_PPDB,PPDB,,acute,,rat,oral,=,91.3,mg/kg,490.639,0.0002,3.7303,Central nervous system stimulant. GABA-gated chloride channel antagonist. Has stomach action and also weak contact activity,
,Talc E553B,,[Mg+2].[Mg+2].[Mg+2].[O-][Si]([O-])=O.[O-][Si]([O-])=O.[O-][Si](=O)O.[O-][Si](=O)O,1307,,#¡REF!,221_PPDB,PPDB,,acute,,rat,oral,=,920,mg/kg,379.263,0.0024,2.6152,"Inert, repellent action",
