Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB maestra,ID_concatenada,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,Reference DB source,Source URL,ToxVal_ID,Chemical_ID
,Guazatine,108173-90-6,NC(N)=NCCCCCCCCNCCCCCCCCN=C(N)N,DTXSID80883176,,24,24_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,230,mg/kg,355.573,0.0006,3.1892,,Joint FAO/WHO Meeting on Pesticide Residues Report 1998b,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928603,ToxVal00025_c990b599549a663c
,Dichlofluanid,1085-98-9,CN(C)S(N(c1ccccc1)SC(F)(Cl)Cl)(=O)=O,DTXSID5041851,,25,25_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,333.234,0.0150,1.8238,,Joint FAO/WHO Meeting on Pesticide Residues Report 1985a,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928604,ToxVal00025_d42923bdcc64e0d4
,Mepanipyrim,110235-47-7,Cc1nc(Nc2ccccc2)nc(C#CC)c1,DTXSID4042121,,26,26_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,223.278,0.0224,1.6499,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928605,ToxVal00025_1f2ac0e80d3bef5a
,Dimethomorph,110488-70-5,COc(ccc(C(c(cc1)ccc1Cl)=CC(N1CCOCC1)=O)c1)c1OC,DTXSID7034545,,27,27_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,3500,mg/kg,387.862,0.0090,2.0446,,Joint FAO/WHO Meeting on Pesticide Residues Report 2009b,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928606,ToxVal00025_8023ffe2d22deec9
,Dimethomorph,110488-70-5,COc(ccc(C(c(cc1)ccc1Cl)=CC(N1CCOCC1)=O)c1)c1OC,DTXSID7034545,,28,28_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,387.862,0.0129,1.8897,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928607,ToxVal00025_8023ffe2d22deec9
,Omethoate,1113-02-6,CNC(CSP(OC)(OC)=O)=O,DTXSID4037580,,29,29_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,50,mg/kg,213.193,0.0002,3.6298,,Joint FAO/WHO Meeting on Pesticide Residues Report 1997a,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928608,ToxVal00025_7f7b951576be93be
,Pebulate,1114-71-2,CCCCN(CC)C(SCCC)=O,DTXSID8021199,,30,30_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,1120,mg/kg,203.349,0.0055,2.2590,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928609,ToxVal00025_2aa3d678dfb10ab4
,Propaquizafop,111479-05-1,CC(C(OCCON=C(C)C)=O)Oc(cc1)ccc1Oc1cnc(cc(cc2)Cl)c2n1,DTXSID8057934,,31,31_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,443.886,0.0113,1.9483,,International Chemical Safety Card 1271,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928610,ToxVal00025_f184bd4914deb58e
,Thiacloprid,111988-49-9,N#C/N=C1\SCCN\1Cc(cc1)cnc1Cl,DTXSID7034961,,32,32_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,396,mg/kg,252.728,0.0016,2.8050,,Joint FAO/WHO Meeting on Pesticide Residues Report 2008,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928611,ToxVal00025_2ebcc57c4c46d750
,Nicosulfuron,111991-09-4,CN(C)C(c1cccnc1S(NC(Nc1nc(OC)cc(OC)n1)=O)(=O)=O)=O,DTXSID6034764,,33,33_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,410.41,0.0122,1.9142,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928612,ToxVal00025_947d3158513d56de
