Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM(g/mol),Operación,pLD50,,long_ref,,source_url,toxval_id,chemical_id
,Benzaldehyde,100-52-7,O=Cc1ccccc1,DTXSID8039241,,28,28_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,guinea pig,oral,=,1000,mg/kg-day,106.124,0.0094,2.0258,,FOOD COSMET TOXICOL 2:322-323,,https://www.ng.cosmosdb.eu/,16671,ToxVal00029_287b3957b80a500e
,BENZENE,-,c1ccccc1,NODTXSID,,29,29_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,3339,mg/kg-day,78.1136,0.0427,1.3691,,TOXICOL APPL PHARMACOL 19:699-704,,https://www.ng.cosmosdb.eu/,16694,ToxVal00029_53372c28403e8f16
,Sodium benzoate,532-32-1,[O-]C(c1ccccc1)=O.[Na+],DTXSID1020140,,30,30_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2100,mg/kg-day,144.105,0.0146,1.8365,,FOOD RES 19:1-12,,https://www.ng.cosmosdb.eu/,16720,ToxVal00029_ea0b6dbfcee99b8a
,Sodium benzoate,532-32-1,[O-]C(c1ccccc1)=O.[Na+],DTXSID1020140,,31,31_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,dog,oral,=,2000,mg/kg-day,144.105,0.0139,1.8576,,HANDBOOK OF TOXICOLOGY 1:44-270,,https://www.ng.cosmosdb.eu/,16721,ToxVal00029_ea0b6dbfcee99b8a
,Sodium benzoate,532-32-1,[O-]C(c1ccccc1)=O.[Na+],DTXSID1020140,,32,32_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,2000,mg/kg-day,144.105,0.0139,1.8576,,HANDBOOK OF TOXICOLOGY 1:44-270,,https://www.ng.cosmosdb.eu/,16722,ToxVal00029_ea0b6dbfcee99b8a
,Benzoic acid,65-85-0,OC(c1ccccc1)=O,DTXSID6020143,,33,33_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2500,mg/kg-day,122.123,0.0205,1.6889,,VOP PITAN 24:61-68,,https://www.ng.cosmosdb.eu/,16761,ToxVal00029_69f4c7cebc406353
,Benzoic acid,65-85-0,OC(c1ccccc1)=O,DTXSID6020143,,34,34_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,1950,mg/kg-day,122.123,0.016,1.7968,,FOOD CHEM TOXICOL 43:1207-1240,,https://www.ng.cosmosdb.eu/,16762,ToxVal00029_69f4c7cebc406353
,Benzoic acid,65-85-0,OC(c1ccccc1)=O,DTXSID6020143,,35,35_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,dog,oral,=,2000,mg/kg-day,122.123,0.0164,1.7858,,FOOD COSMET TOXICOL 17:715-723,,https://www.ng.cosmosdb.eu/,16763,ToxVal00029_69f4c7cebc406353
,Benzoic acid,65-85-0,OC(c1ccccc1)=O,DTXSID6020143,,36,36_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,cat,oral,=,2000,mg/kg-day,122.123,0.0164,1.7858,,FOOD COSMET TOXICOL 17:715-723,,https://www.ng.cosmosdb.eu/,16764,ToxVal00029_69f4c7cebc406353
,Benzoin,119-53-9,OC(C(c1ccccc1)=O)c1ccccc1,DTXSID1020144,,37,37_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,10000,mg/kg-day,212.247,0.0471,1.3268,,FOOD COSMET TOXICOL 11:871-872,,https://www.ng.cosmosdb.eu/,16789,ToxVal00029_8aec9017b76aa467
,Benzoin,119-53-9,OC(C(c1ccccc1)=O)c1ccccc1,DTXSID1020144,,38,38_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,5620,mg/kg-day,212.247,0.0265,1.5771,,NTP TR 204 (NIH PBL 80-1760),,https://www.ng.cosmosdb.eu/,16790,ToxVal00029_8aec9017b76aa467
,Benzyl acetate,140-11-4,CC(OCc1ccccc1)=O,DTXSID0020151,,39,39_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,2640,mg/kg-day,150.176,0.0176,1.755,,J PHARMACOL EXP THER 84:358-362,,https://www.ng.cosmosdb.eu/,16875,ToxVal00029_5cbf92e4f1ba4cbe
,Benzyl acetate,140-11-4,CC(OCc1ccccc1)=O,DTXSID0020151,,40,40_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2490,mg/kg-day,150.176,0.0166,1.7804,,FOOD COSMET TOXICOL 2:327,,https://www.ng.cosmosdb.eu/,16876,ToxVal00029_5cbf92e4f1ba4cbe
,Benzyl alcohol,100-51-6,OCc1ccccc1,DTXSID5020152,,41,41_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,1230,mg/kg-day,108.14,0.0114,1.9441,,FEM 000030 3:813-816,,https://www.ng.cosmosdb.eu/,16922,ToxVal00029_cca9b0e87e5a0596
,Benzyl alcohol,100-51-6,OCc1ccccc1,DTXSID5020152,,42,42_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,1580,mg/kg-day,108.14,0.0146,1.8353,,FOOD COSMET TOXICOL 2:327-343,,https://www.ng.cosmosdb.eu/,16923,ToxVal00029_cca9b0e87e5a0596
,Benzyl alcohol,100-51-6,OCc1ccccc1,DTXSID5020152,,43,43_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,1040,mg/kg-day,108.14,0.0096,2.017,,J PHARMAC 84:358,,https://www.ng.cosmosdb.eu/,16924,ToxVal00029_cca9b0e87e5a0596
,BIPHENYL,-,c(cc1)ccc1-c1ccccc1,NODTXSID,,44,44_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,3280,mg/kg-day,154.211,0.0213,1.6722,,J IND HYG TOXICOL 30:373,,https://www.ng.cosmosdb.eu/,16963,ToxVal00029_1a5bcaaa0851581f
,BIPHENYL,-,c(cc1)ccc1-c1ccccc1,NODTXSID,,45,45_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,2410,mg/kg-day,154.211,0.0156,1.8061,,J IND HYG TOXICOL 29:1,,https://www.ng.cosmosdb.eu/,16964,ToxVal00029_1a5bcaaa0851581f
,FD&C Blue No. 2 aluminum lake,16521-38-3,,DTXSID6044224,,46,46_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2000,mg/kg-day,,#¡DIV/0!,#¡DIV/0!,,FOOD ADDITIVES HANDBOOK (R.J. LEWIS) PAGE 187,,https://www.ng.cosmosdb.eu/,17063,ToxVal00029_91527f2fec1a612c
,C.I. Acid Blue 74,860-22-0,[O-]S(c(cc1)cc2c1[nH]c(C1=Nc(ccc(S([O-])(=O)=O)c3)c3C1=O)c2O)(=O)=O.[Na+].[Na+],DTXSID1020190,,47,47_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2000,mg/kg-day,466.358,0.0043,2.3677,,FOOD ADDITIVES HANDBOOK (R.J. LEWIS) PAGE 187,,https://www.ng.cosmosdb.eu/,17094,ToxVal00029_1ceec4905d2ae626
,POTASSIUM BROMATE,-,[O-]Br(=O)=O.[K+],NODTXSID,,48,48_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,280,mg/kg-day,166.999,0.0017,2.7756,,ENVIRON HEALTH PERSPECT 87:309-335,,https://www.ng.cosmosdb.eu/,17132,ToxVal00029_39dc1c78d12517a0
,POTASSIUM BROMATE,-,[O-]Br(=O)=O.[K+],NODTXSID,,49,49_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,400,mg/kg-day,166.999,0.0024,2.6207,,ENVIRON HEALTH PERSPECT 87:309-335,,https://www.ng.cosmosdb.eu/,17133,ToxVal00029_39dc1c78d12517a0
,POTASSIUM BROMATE,-,[O-]Br(=O)=O.[K+],NODTXSID,,50,50_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,syrian hamster,oral,=,388,mg/kg-day,166.999,0.0023,2.6339,,ENVIRON HEALTH PERSPECT 87:309-335,,https://www.ng.cosmosdb.eu/,17134,ToxVal00029_39dc1c78d12517a0
,Butylparaben,94-26-8,CCCCOC(c(cc1)ccc1O)=O,DTXSID3020209,,51,51_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,4960,mg/kg-day,194.229,0.0255,1.5928,,FOOD ADDITIVES HANDBOOK (R.J. LEWIS) PAGE 179-180,,https://www.ng.cosmosdb.eu/,17178,ToxVal00029_a650bc825bb5596e
,Butylparaben,94-26-8,CCCCOC(c(cc1)ccc1O)=O,DTXSID3020209,,52,52_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,13200,mg/kg-day,194.229,0.068,1.1677,,NIPPON EISEIGAKU ZASSHI 7:50-54,,https://www.ng.cosmosdb.eu/,17179,ToxVal00029_a650bc825bb5596e
,"2,6-DI-TERT-BUTYL-4-(HYDROXYMETHYL)PHENOL",-,CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O,NODTXSID,,53,53_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,7000,mg/kg-day,236.354,0.0296,1.5285,,TOXICOL APPL PHARMACOL 17:669,,https://www.ng.cosmosdb.eu/,17182,ToxVal00029_676ba1e682edc28d
,"2,6-DI-TERT-BUTYL-4-(HYDROXYMETHYL)PHENOL",-,CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O,NODTXSID,,54,54_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,7000,mg/kg-day,236.354,0.0296,1.5285,,TOXICOL APPL PHARMACOL 17:669,,https://www.ng.cosmosdb.eu/,17183,ToxVal00029_676ba1e682edc28d
,Butylated hydroxyanisole,25013-16-5,CC(C)(C)c(cc(cc1)O)c1OC,DTXSID7020215,,55,55_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,hamster,oral,=,1090,mg/kg-day,180.246,0.006,2.2184,,GRM,,https://www.ng.cosmosdb.eu/,17298,ToxVal00029_4097bf0e29e2a0b4
,Butylated hydroxyanisole,25013-16-5,CC(C)(C)c(cc(cc1)O)c1OC,DTXSID7020215,,56,56_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,2000,mg/kg-day,180.246,0.0111,1.9548,,GRM,,https://www.ng.cosmosdb.eu/,17299,ToxVal00029_4097bf0e29e2a0b4
,Butylated hydroxyanisole,25013-16-5,CC(C)(C)c(cc(cc1)O)c1OC,DTXSID7020215,,57,57_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2000,mg/kg-day,180.246,0.0111,1.9548,,J AM COLL TOXICOL 3:83-146,,https://www.ng.cosmosdb.eu/,17300,ToxVal00029_4097bf0e29e2a0b4
,Butylated hydroxyanisole,25013-16-5,CC(C)(C)c(cc(cc1)O)c1OC,DTXSID7020215,,58,58_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,1100,mg/kg-day,180.246,0.0061,2.2145,,J AM COLL TOXICOL 3:83-146,,https://www.ng.cosmosdb.eu/,17301,ToxVal00029_4097bf0e29e2a0b4
,Butylated hydroxytoluene,128-37-0,CC(C)(C)c1cc(C)cc(C(C)(C)C)c1O,DTXSID2020216,,59,59_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,650,mg/kg-day,220.355,0.0029,2.5302,,SCI REP RES INST TOHOKU UNIV 36:10-16,,https://www.ng.cosmosdb.eu/,17542,ToxVal00029_3d1d5e407857945e
,Butylated hydroxytoluene,128-37-0,CC(C)(C)c1cc(C)cc(C(C)(C)C)c1O,DTXSID2020216,,60,60_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,hamster,oral,=,2820,mg/kg-day,220.355,0.0128,1.8929,,GRM,,https://www.ng.cosmosdb.eu/,17543,ToxVal00029_3d1d5e407857945e
,Butylated hydroxytoluene,128-37-0,CC(C)(C)c1cc(C)cc(C(C)(C)C)c1O,DTXSID2020216,,61,61_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,3200,mg/kg-day,220.355,0.0145,1.838,,GRM,,https://www.ng.cosmosdb.eu/,17544,ToxVal00029_3d1d5e407857945e
,Butylated hydroxytoluene,128-37-0,CC(C)(C)c1cc(C)cc(C(C)(C)C)c1O,DTXSID2020216,,62,62_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,1350,mg/kg-day,220.355,0.0061,2.2128,,TOXICOLOGY 1:277-287,,https://www.ng.cosmosdb.eu/,17545,ToxVal00029_3d1d5e407857945e
,tert-Butylhydroquinone,1948-33-0,CC(C)(C)c(cc(cc1)O)c1O,DTXSID6020220,,63,63_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,700,mg/kg-day,166.219,0.0042,2.3756,,J AM OIL CHEM SOC 52:53-58,,https://www.ng.cosmosdb.eu/,17710,ToxVal00029_f47229f7f573fe93
,tert-Butylhydroquinone,1948-33-0,CC(C)(C)c(cc(cc1)O)c1O,DTXSID6020220,,64,64_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,1000,mg/kg-day,166.219,0.006,2.2207,,ASP,,https://www.ng.cosmosdb.eu/,17711,ToxVal00029_f47229f7f573fe93
,tert-Butylhydroquinone,1948-33-0,CC(C)(C)c(cc(cc1)O)c1O,DTXSID6020220,,65,65_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,guinea pig,oral,=,700,mg/kg-day,166.219,0.0042,2.3756,,ASP,,https://www.ng.cosmosdb.eu/,17712,ToxVal00029_f47229f7f573fe93
