Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenda,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,DB reference source,URL,,ToxVal_ ID,Chemical_ID
,"N-(2,6-dimethylphenyl)-N-(1H-pyrazol-1-ylmethyl)oxalamide",-,Cc1cccc(C)c1N(C[n]1nccc1)C(C(N)=O)=O,NODTXSID,,25,25_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2200,mg/kg,272.307,0.0081,2.0926,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance metazachlor 20080729,https://doi.org/doi:10.2903/j.efsa.2008.145r,,913297,ToxVal00035_ac2f3a8145599382
,Metazachlor,67129-08-2,Cc1cccc(C)c1N(C[n]1nccc1)C(CCl)=O,DTXSID4058156,,26,26_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2200,mg/kg,277.754,0.0079,2.1012,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance metazachlor 20080729,https://doi.org/doi:10.2903/j.efsa.2008.145r,,913298,ToxVal00035_b04829eaa16fb8c4
,"N-(2,6-dimethylphenyl)-N-(1H-pyrazol-1-ylmethyl)aminocarbonylmethylsulfonic acid",-,Cc1cccc(C)c1N(C[n]1nccc1)C(CS(O)(=O)=O)=O,NODTXSID,,27,27_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,5000,mg/kg,323.372,0.0155,1.8107,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance metazachlor 20080729,https://doi.org/doi:10.2903/j.efsa.2008.145r,,913299,ToxVal00035_3dc89776ecc55701
,Metazachlor,67129-08-2,Cc1cccc(C)c1N(C[n]1nccc1)C(CCl)=O,DTXSID4058156,,28,28_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,5000,mg/kg,277.754,0.0180,1.7447,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance metazachlor 20080729,https://doi.org/doi:10.2903/j.efsa.2008.145r,,913300,ToxVal00035_b04829eaa16fb8c4
,"3-[N-(2,6-dimethylphenyl)-N-(1H-pyrazol-1-ylmethyl)aminocarbonylmethylsulfinyl]-2-hydroxypropanoic acid",-,Cc1cccc(C)c1N(C[n]1nccc1)C(CS(CC(C(O)=O)O)=O)=O,NODTXSID,,29,29_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2000,mg/kg,379.436,0.0053,2.2781,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance metazachlor 20080729,https://doi.org/doi:10.2903/j.efsa.2008.145r,,913301,ToxVal00035_fbb11baf0b10e4f8
,Metazachlor,67129-08-2,Cc1cccc(C)c1N(C[n]1nccc1)C(CCl)=O,DTXSID4058156,,30,30_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2000,mg/kg,277.754,0.0072,2.1426,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance metazachlor 20080729,https://doi.org/doi:10.2903/j.efsa.2008.145r,,913302,ToxVal00035_b04829eaa16fb8c4
,beta-Cypermethrin,1224510-29-5,CC(C)([C@H]1C=C(Cl)Cl)[C@H]1C(O[C@@H](c1cc(Oc2ccccc2)ccc1)C#N)=O,DTXSID6052871,,31,31_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,93,mg/kg-day,416.303,0.0002,3.6509,,Conclusion on the peer review of the pesticide risk assessment of the active substance beta-cypermethrin 20140620,https://doi.org/doi:10.2903/j.efsa.2014.3717,,913317,ToxVal00035_f5dac27585caa311
,Denatonium benzoate,3734-33-6,CC[N+](CC)(CC(Nc1c(C)cccc1C)=O)Cc1ccccc1.[O-]C(c1ccccc1)=O,DTXSID8034376,,32,32_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,196,mg/kg,446.589,0.0004,3.3577,,Conclusion on the peer review of the pesticide risk assessment of the active substance denatonium benzoate (approved as denathonium benzoate) 20120110,https://doi.org/doi:10.2903/j.efsa.2012.2483,,913333,ToxVal00035_d4146493dc8f25cd
,Bixafen,581809-46-3,C[n]1nc(C(F)F)c(C(Nc(ccc(F)c2)c2-c(cc2)cc(Cl)c2Cl)=O)c1,DTXSID6058134,,33,33_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2000,mg/kg-day,414.213,0.0048,2.3162,,Conclusion on the peer review of the pesticide risk assessment of the active substance bixafen 20121105,https://doi.org/doi:10.2903/j.efsa.2012.2917,,913340,ToxVal00035_34632149301e1f6a
,Bromoxynil octanoate,1689-99-2,CCCCCCCC(Oc(c(Br)cc(C#N)c1)c1Br)=O,DTXSID7023932,,34,34_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,65.5,ug/piece,403.113,0.0002,3.7892,,Peer review of the pesticide risk assessment of the active substance bromoxynil (variant evaluated bromoxynil octanoate) 20170614,https://doi.org/doi:10.2903/j.efsa.2017.4790,,913358,ToxVal00035_155466a55095ea76
,Bromoxynil octanoate,1689-99-2,CCCCCCCC(Oc(c(Br)cc(C#N)c1)c1Br)=O,DTXSID7023932,,35,35_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,98.8,ug/piece,403.113,0.0002,3.6107,,Peer review of the pesticide risk assessment of the active substance bromoxynil (variant evaluated bromoxynil octanoate) 20170614,https://doi.org/doi:10.2903/j.efsa.2017.4790,,913359,ToxVal00035_155466a55095ea76
,Bromoxynil butyrate,3861-41-4,CCCC(Oc(c(Br)cc(C#N)c1)c1Br)=O,DTXSID3032335,,36,36_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,76.4,ug/piece,347.005,0.0002,3.6572,,Peer review of the pesticide risk assessment of the active substance bromoxynil (variant evaluated bromoxynil octanoate) 20170614,https://doi.org/doi:10.2903/j.efsa.2017.4790,,913371,ToxVal00035_046254da3005949d
,Bromoxynil butyrate,3861-41-4,CCCC(Oc(c(Br)cc(C#N)c1)c1Br)=O,DTXSID3032335,,37,37_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,199,ug/piece,347.005,0.0006,3.2415,,Peer review of the pesticide risk assessment of the active substance bromoxynil (variant evaluated bromoxynil octanoate) 20170614,https://doi.org/doi:10.2903/j.efsa.2017.4790,,913372,ToxVal00035_046254da3005949d
,Mesotrione,104206-82-8,CS(c(cc1)cc([N+]([O-])=O)c1C(C(C(CCC1)=O)C1=O)=O)(=O)=O,DTXSID7032424,,38,38_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,52.5,ug/piece,339.323,0.0002,3.8105,,Peer review of the pesticide risk assessment of the active substance mesotrione 20160307,https://doi.org/doi:10.2903/j.efsa.2016.4419,,913379,ToxVal00035_62b537839a515037
,Carfentrazone-ethyl,128639-02-1,CCOC(C(Cc(cc(c(F)c1)N2N=C(C)N(C(F)F)C2=O)c1Cl)Cl)=O,DTXSID4032532,,39,39_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,81,ug/piece,412.194,0.0002,3.7066,,Peer review of the pesticide risk assessment of the active substance carfentrazone-ethyl 20160830,https://doi.org/doi:10.2903/j.efsa.2016.4569,,913390,ToxVal00035_af8cc60bffe6bb85
,Carfentrazone-ethyl,128639-02-1,CCOC(C(Cc(cc(c(F)c1)N2N=C(C)N(C(F)F)C2=O)c1Cl)Cl)=O,DTXSID4032532,,40,40_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,81,ug/piece,412.194,0.0002,3.7066,,Peer review of the pesticide risk assessment of the active substance carfentrazone-ethyl 20160830,https://doi.org/doi:10.2903/j.efsa.2016.4569,,913391,ToxVal00035_af8cc60bffe6bb85
,Ricin,9009-86-3,,DTXSID0042537,,41,41_EFSADB,EFSA,EFSA CONTAM,acute,eco,mallard duck,oral,=,1200,mg/kg,,#¡DIV/0!,#¡DIV/0!,,Ricin (from Ricinus communis) as undesirable substances in animal feed 20080912,https://doi.org/doi:10.2903/j.efsa.2008.726,,913397,ToxVal00035_8bd12e97a65a387d
,Blood meal,90989-74-5,,DTXSID60894987,,42,42_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,198,ug/piece,,#¡DIV/0!,#¡DIV/0!,,Conclusion on the peer review of the pesticide risk assessment of the active substance blood meal 20111003,https://doi.org/doi:10.2903/j.efsa.2011.2394,,913400,ToxVal00035_a46aee56f4741a4a
,Blood meal,90989-74-5,,DTXSID60894987,,43,43_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,200,ug/piece,,#¡DIV/0!,#¡DIV/0!,,Conclusion on the peer review of the pesticide risk assessment of the active substance blood meal 20111003,https://doi.org/doi:10.2903/j.efsa.2011.2394,,913401,ToxVal00035_a46aee56f4741a4a
,Chlorantraniliprole,500008-45-7,Cc1cc(Cl)cc(C(NC)=O)c1NC(c1cc(Br)n[n]1-c1ncccc1Cl)=O,DTXSID2044345,,44,44_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,104.1,ug/piece,483.152,0.0002,3.6666,,Conclusion on the peer review of the pesticide risk assessment of the active substance chlorantraniliprole. 20130606,https://doi.org/doi:10.2903/j.efsa.2013.3143,,913413,ToxVal00035_740bc62457c5ded6
,Clethodim,99129-21-2,CC/C(\C(C(CC(CC(C)SCC)C1)=O)=C1O)=N\OC/C=C/Cl,DTXSID3034458,,45,45_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,43,ug/piece,359.916,0.0001,3.9227,,Conclusion on the peer review of the pesticide risk assessment of the active substance clethodim 20100914,https://doi.org/doi:10.2903/j.efsa.2010.1771,,913446,ToxVal00035_14ae2938d2f0b5eb
,Clethodim,99129-21-2,CC/C(\C(C(CC(CC(C)SCC)C1)=O)=C1O)=N\OC/C=C/Cl,DTXSID3034458,,46,46_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,43,ug/piece,359.916,0.0001,3.9227,,Conclusion on the peer review of the pesticide risk assessment of the active substance clethodim 20111021,https://doi.org/doi:10.2903/j.efsa.2011.2417,,913447,ToxVal00035_14ae2938d2f0b5eb
