Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenda,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,DB reference source,URL,,ToxVal_ ID,Chemical_ID
,Flupyradifurone,951659-40-8,O=C1OCC(N(CC(F)F)Cc(cc2)cnc2Cl)=C1,DTXSID10872811,,1540,1540_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,1607,mg/kg-day,288.68,0.0056,2.2544,,Conclusion on the peer review of the pesticide risk assessment of the active substance flupyradifurone 20150210,https://doi.org/doi:10.2903/j.efsa.2015.4020,,917815,ToxVal00035_eea1fba42ea3c430
,"2,7,8,9-Tricyclazole",41814-78-2,Cc1cccc([s]2)c1[n]1c2nnc1,DTXSID7037478,,1541,1541_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2176,mg/kg-day,189.242,0.0115,1.9394,,Conclusion on the peer review of the pesticide risk assessment of the active substance tricyclazole 20150227,https://doi.org/doi:10.2903/j.efsa.2015.4032,,917817,ToxVal00035_1325affa8e2763c6
,"2,7,8,9-Tricyclazole",41814-78-2,Cc1cccc([s]2)c1[n]1c2nnc1,DTXSID7037478,,1542,1542_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,237,mg/kg-day,189.242,0.0013,2.9023,,Conclusion on the peer review of the pesticide risk assessment of the active substance tricyclazole 20150227,https://doi.org/doi:10.2903/j.efsa.2015.4032,,917820,ToxVal00035_1325affa8e2763c6
,Benzovindiflupyr,-,C[n]1nc(C(F)F)c(C(Nc2cccc(C3CC4)c2C4C3=C(Cl)Cl)=O)c1,NODTXSID,,1543,1543_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,1315,mg/kg,398.239,0.0033,2.4812,,Conclusion on the peer review of the pesticide risk assessment of the active substance benzovindiflupyr 20150318,https://doi.org/doi:10.2903/j.efsa.2015.4043,,917822,ToxVal00035_07a9650e28b8ce02
,Benzovindiflupyr,-,C[n]1nc(C(F)F)c(C(Nc2cccc(C3CC4)c2C4C3=C(Cl)Cl)=O)c1,NODTXSID,,1544,1544_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,55,mg/kg,398.239,0.0001,3.8598,,Conclusion on the peer review of the pesticide risk assessment of the active substance benzovindiflupyr 20150318,https://doi.org/doi:10.2903/j.efsa.2015.4043,,917825,ToxVal00035_07a9650e28b8ce02
,Iprovalicarb,140923-17-7,CC(C)C(C(N[C@@H](C)c1ccc(C)cc1)=O)NC(OC(C)C)=O,DTXSID0047662,,1545,1545_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg-day,320.431,0.0062,2.2047,,Conclusion on the peer review of the pesticide risk assessment of the active substance iprovalicarb 20150415,https://doi.org/doi:10.2903/j.efsa.2015.4060,,917827,ToxVal00035_40632b0abb22d560
,Iprovalicarb,140923-17-7,CC(C)C(C(N[C@@H](C)c1ccc(C)cc1)=O)NC(OC(C)C)=O,DTXSID0047662,,1546,1546_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,5000,mg/kg-day,320.431,0.0156,1.8068,,Conclusion on the peer review of the pesticide risk assessment of the active substance iprovalicarb 20150415,https://doi.org/doi:10.2903/j.efsa.2015.4060,,917830,ToxVal00035_40632b0abb22d560
,Bentazone,25057-89-0,CN(C)CCCOc1n[n](Cc2ccccc2)c2c1cccc2,DTXSID0023901,,1547,1547_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,564.98,mg/kg-day,309.412,0.0018,2.7385,,Conclusion on the peer review of the pesticide risk assessment of the active substance bentazone 20150420,https://doi.org/doi:10.2903/j.efsa.2015.4077,,917832,ToxVal00035_3ef1b2463a4f17e5
,Bentazone,25057-89-0,CN(C)CCCOc1n[n](Cc2ccccc2)c2c1cccc2,DTXSID0023901,,1548,1548_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,1640,mg/kg-day,309.412,0.0053,2.2757,,Conclusion on the peer review of the pesticide risk assessment of the active substance bentazone 20150420,https://doi.org/doi:10.2903/j.efsa.2015.4077,,917835,ToxVal00035_3ef1b2463a4f17e5
,Mandestrobin,173662-97-0,Cc1cc(OCc2c(C(C(NC)=O)OC)cccc2)c(C)cc1,DTXSID20894968,,1549,1549_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2250,mg/kg-day,313.396,0.0072,2.1439,,Conclusion on the peer review of the pesticide risk assessment of the active substance mandestrobin 20150505,https://doi.org/doi:10.2903/j.efsa.2015.4100,,917837,ToxVal00035_49d0bca0da73e94f
,Mandestrobin,173662-97-0,Cc1cc(OCc2c(C(C(NC)=O)OC)cccc2)c(C)cc1,DTXSID20894968,,1550,1550_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,200,mg/kg-day,313.396,0.0006,3.1951,,Conclusion on the peer review of the pesticide risk assessment of the active substance mandestrobin 20150505,https://doi.org/doi:10.2903/j.efsa.2015.4100,,917840,ToxVal00035_49d0bca0da73e94f
,Azinphos-methyl,86-50-0,COP(OC)(SCN1N=Nc(cccc2)c2C1=O)=S,DTXSID3020122,,1551,1551_EFSADB,EFSA,EFSA PPR,acute,eco,red-winged blackbird,oral,=,8.5,mg/kg,317.329,0.0000,4.5721,,"Opinion of the Scientific Panel of Plant health, Plant protection products and their Residues on a request from the Commission related to the evaluation of azinphos-methyl in the context of Council Directive 91/414/ECC 20040316",https://doi.org/doi:10.2903/j.efsa.2004.5,,917842,ToxVal00035_05e2814f30527907
,Pirimicarb,23103-98-2,Cc1c(C)nc(N(C)C)nc1OC(N(C)C)=O,DTXSID1032569,,1552,1552_EFSADB,EFSA,EFSA PPR,acute,eco,bobwhite quail,oral,=,370,mg/kg,238.29,0.0016,2.8089,,"Opinion of the Scientific Panel on Plant health, Plant protection products and their Residues on a request from EFSA related to the evaluation of pirimicarb 20050808",https://doi.org/doi:10.2903/j.efsa.2005.240,,917845,ToxVal00035_ca543c95c574ab00
,Pirimicarb,23103-98-2,Cc1c(C)nc(N(C)C)nc1OC(N(C)C)=O,DTXSID1032569,,1553,1553_EFSADB,EFSA,EFSA PPR,acute,eco,bobwhite quail,oral,~,20,mg/kg,238.29,0.0001,4.0761,,"Opinion of the Scientific Panel on Plant health, Plant protection products and their Residues on a request from EFSA related to the evaluation of pirimicarb 20050808",https://doi.org/doi:10.2903/j.efsa.2005.240,,917846,ToxVal00035_ca543c95c574ab00
,Epoxiconazole,133855-98-8,Fc1ccc([C@@]2(C[n]3ncnc3)O[C@@H]2c(cccc2)c2Cl)cc1,DTXSID1040372,,1554,1554_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg,329.761,0.0061,2.2172,,Peer review of the pesticide risk assessment for the active substance epoxiconazole in light of confirmatory data submitted 20150612,https://doi.org/doi:10.2903/j.efsa.2015.4123,,917847,ToxVal00035_cfabb5acbaae2a08
,Epoxiconazole,133855-98-8,Fc1ccc([C@@]2(C[n]3ncnc3)O[C@@H]2c(cccc2)c2Cl)cc1,DTXSID1040372,,1555,1555_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,>,907,mg/kg,329.761,0.0028,2.5606,,Peer review of the pesticide risk assessment for the active substance epoxiconazole in light of confirmatory data submitted 20150612,https://doi.org/doi:10.2903/j.efsa.2015.4123,,917848,ToxVal00035_cfabb5acbaae2a08
,Epoxiconazole,133855-98-8,Fc1ccc([C@@]2(C[n]3ncnc3)O[C@@H]2c(cccc2)c2Cl)cc1,DTXSID1040372,,1556,1556_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,3160,mg/kg,329.761,0.0096,2.0185,,Peer review of the pesticide risk assessment for the active substance epoxiconazole in light of confirmatory data submitted 20150612,https://doi.org/doi:10.2903/j.efsa.2015.4123,,917850,ToxVal00035_cfabb5acbaae2a08
,Famoxadone,131807-57-3,CC(C(N1Nc2ccccc2)=O)(c(cc2)ccc2Oc2ccccc2)OC1=O,DTXSID8034588,,1557,1557_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2250,mg/kg-day,374.395,0.0060,2.2211,,Conclusion on the peer review of the pesticide risk assessment of the active substance famoxadone 20150716,https://doi.org/doi:10.2903/j.efsa.2015.4194,,917852,ToxVal00035_64fb5f51355b8e5c
,Famoxadone,131807-57-3,CC(C(N1Nc2ccccc2)=O)(c(cc2)ccc2Oc2ccccc2)OC1=O,DTXSID8034588,,1558,1558_EFSADB,EFSA,EFSA,acute,human health,rat,-,>,5000,mg/kg,374.395,0.0134,1.8744,,Conclusion on the peer review of the pesticide risk assessment of the active substance famoxadone 20150716,https://doi.org/doi:10.2903/j.efsa.2015.4194,,917854,ToxVal00035_64fb5f51355b8e5c
,Thifensulfuron methyl,79277-27-3,Cc1nc(NC(NS(c2c(C(OC)=O)[s]cc2)(=O)=O)=O)nc(OC)n1,DTXSID1024124,,1559,1559_EFSADB,EFSA,EFSA,acute,eco,mallard duck,oral,>,2510,mg/kg-day,387.396,0.0065,2.1885,,Conclusion on the peer review of the pesticide risk assessment of the active substance thifensulfuron-methyl 20150723,https://doi.org/doi:10.2903/j.efsa.2015.4201,,917856,ToxVal00035_ba4aa56d90d45e3f
,Thifensulfuron methyl,79277-27-3,Cc1nc(NC(NS(c2c(C(OC)=O)[s]cc2)(=O)=O)=O)nc(OC)n1,DTXSID1024124,,1560,1560_EFSADB,EFSA,EFSA,acute,human health,rat,-,>,5000,mg/kg-day,387.396,0.0129,1.8892,,Conclusion on the peer review of the pesticide risk assessment of the active substance thifensulfuron-methyl 20150723,https://doi.org/doi:10.2903/j.efsa.2015.4201,,917859,ToxVal00035_ba4aa56d90d45e3f
,Isoproturon,34123-59-6,CC(C)c(cc1)ccc1NC(N(C)C)=O,DTXSID1042077,,1561,1561_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,1401,mg/kg-day,206.288,0.0068,2.1680,,Conclusion on the peer review of the pesticide risk assessment of the active substance isoproturon 20150820,https://doi.org/doi:10.2903/j.efsa.2015.4206,,917861,ToxVal00035_b84ba7033b0cdc89
,Isoproturon,34123-59-6,CC(C)c(cc1)ccc1NC(N(C)C)=O,DTXSID1042077,,1562,1562_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,1826,mg/kg-day,206.288,0.0089,2.0530,,Conclusion on the peer review of the pesticide risk assessment of the active substance isoproturon 20150820,https://doi.org/doi:10.2903/j.efsa.2015.4206,,917864,ToxVal00035_b84ba7033b0cdc89
,Dodecylguanidine acetate,2439-10-3,CCCCCCCCCCCCNC(N)=N.CC(O)=O,DTXSID3020548,,1563,1563_EFSADB,EFSA,EFSA,acute,eco,mallard duck,oral,=,857,mg/kg-day,287.446,0.0030,2.5256,,Peer review of the pesticide risk assessment for the active substance dodine in light of confirmatory data submitted 20150820,https://doi.org/doi:10.2903/j.efsa.2015.4209,,917866,ToxVal00035_f13494a55f05f7e2
,Dodecylguanidine acetate,2439-10-3,CCCCCCCCCCCCNC(N)=N.CC(O)=O,DTXSID3020548,,1564,1564_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,851,mg/kg-day,287.446,0.0030,2.5286,,Peer review of the pesticide risk assessment for the active substance dodine in light of confirmatory data submitted 20150820,https://doi.org/doi:10.2903/j.efsa.2015.4209,,917869,ToxVal00035_f13494a55f05f7e2
,Resveratrol,501-36-0,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,DTXSID4031980,,1565,1565_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg,228.246,0.0088,2.0574,,Peer review of the pesticide risk assessment of the active substance Reynoutria sachalinensis extract 20150911,https://doi.org/doi:10.2903/j.efsa.2015.4221,,917871,ToxVal00035_c28ecfbe79fa660c
,3-Hydroxy-5-(2-(4-hydroxyphenyl)ethenyl)phenyl-beta-D-glucopyranoside,65914-17-2,,DTXSID20897454,,1566,1566_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,Peer review of the pesticide risk assessment of the active substance Reynoutria sachalinensis extract 20150911,https://doi.org/doi:10.2903/j.efsa.2015.4221,,917872,ToxVal00035_112987b4476f0743
,Emodin,518-82-1,Cc(cc1C(c2cc(O)cc(O)c22)=O)cc(O)c1C2=O,DTXSID5025231,,1567,1567_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg,270.239,0.0074,2.1307,,Peer review of the pesticide risk assessment of the active substance Reynoutria sachalinensis extract 20150911,https://doi.org/doi:10.2903/j.efsa.2015.4221,,917873,ToxVal00035_54f3f0330e51f88e
,Emodin 1-O-beta-D-glucoside,38840-23-2,Cc(cc1C(c2cc(O)cc(O)c22)=O)cc(O[C@@H]([C@@H]([C@H]3O)O)O[C@H](CO)[C@H]3O)c1C2=O,DTXSID201020031,,1568,1568_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg,432.38,0.0046,2.3348,,Peer review of the pesticide risk assessment of the active substance Reynoutria sachalinensis extract 20150911,https://doi.org/doi:10.2903/j.efsa.2015.4221,,917874,ToxVal00035_68cb3096bde86a1f
,Physcione,521-61-9,COc(cc1C(c2c3ccc(O)c2)=O)cc(O)c1C3=O,DTXSID20200101,,1569,1569_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg,270.239,0.0074,2.1307,,Peer review of the pesticide risk assessment of the active substance Reynoutria sachalinensis extract 20150911,https://doi.org/doi:10.2903/j.efsa.2015.4221,,917875,ToxVal00035_ea9d2a678c11d2b5
,Picolinafen,137641-05-5,O=C(c1nc(Oc2cc(C(F)(F)F)ccc2)ccc1)Nc(cc1)ccc1F,DTXSID8044339,,1570,1570_EFSADB,EFSA,EFSA,acute,eco,mallard duck,oral,>,2250,mg/kg-day,376.308,0.0060,2.2234,,Conclusion on the peer review of the pesticide risk assessment of the active substance picolinafen 20151104,https://doi.org/doi:10.2903/j.efsa.2015.4279,,917876,ToxVal00035_5ec1e9b028e8f240
,Picolinafen,137641-05-5,O=C(c1nc(Oc2cc(C(F)(F)F)ccc2)ccc1)Nc(cc1)ccc1F,DTXSID8044339,,1571,1571_EFSADB,EFSA,EFSA,acute,human health,rat,-,>,5000,mg/kg-day,376.308,0.0133,1.8766,,Conclusion on the peer review of the pesticide risk assessment of the active substance picolinafen 20151104,https://doi.org/doi:10.2903/j.efsa.2015.4279,,917878,ToxVal00035_5ec1e9b028e8f240
,Diquat dibromide,85-00-7,C(C1)[n+](cccc2)c2-c2[n+]1cccc2.[Br-].[Br-],DTXSID3024075,,1572,1572_EFSADB,EFSA,EFSA,acute,eco,mallard duck,oral,=,71,mg/kg-day,344.049,0.0002,3.6854,,Conclusion on the peer review of the pesticide risk assessment of the active substance diquat 20151127,https://doi.org/doi:10.2903/j.efsa.2015.4308,,917880,ToxVal00035_564d51a92b5a2b00
,Diquat dibromide,85-00-7,C(C1)[n+](cccc2)c2-c2[n+]1cccc2.[Br-].[Br-],DTXSID3024075,,1573,1573_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,214,mg/kg-day,344.049,0.0006,3.2062,,Conclusion on the peer review of the pesticide risk assessment of the active substance diquat 20151127,https://doi.org/doi:10.2903/j.efsa.2015.4308,,917882,ToxVal00035_564d51a92b5a2b00
,Pyridaben,96489-71-3,CC(C)(C)c1ccc(CSC(C=NN(C(C)(C)C)C2=O)=C2Cl)cc1,DTXSID5032573,,1574,1574_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2250,mg/kg-day,364.94,0.0062,2.2100,,Peer review of the pesticide risk assessment for the active substance pyridaben in light of confirmatory data submitted 20160114,https://doi.org/doi:10.2903/j.efsa.2016.4376,,917884,ToxVal00035_2291f66bed0f9497
,Pyridaben,96489-71-3,CC(C)(C)c1ccc(CSC(C=NN(C(C)(C)C)C2=O)=C2Cl)cc1,DTXSID5032573,,1575,1575_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,161,mg/kg-day,364.94,0.0004,3.3554,,Peer review of the pesticide risk assessment for the active substance pyridaben in light of confirmatory data submitted 20160114,https://doi.org/doi:10.2903/j.efsa.2016.4376,,917887,ToxVal00035_2291f66bed0f9497
,Pyridaben,96489-71-3,CC(C)(C)c1ccc(CSC(C=NN(C(C)(C)C)C2=O)=C2Cl)cc1,DTXSID5032573,,1576,1576_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,570,mg/kg-day,364.94,0.0016,2.8063,,Peer review of the pesticide risk assessment for the active substance pyridaben in light of confirmatory data submitted 20160114,https://doi.org/doi:10.2903/j.efsa.2016.4376,,917888,ToxVal00035_2291f66bed0f9497
,Ethofumesate,26225-79-6,CCOC(C1(C)C)Oc(cc2)c1cc2OS(C)(=O)=O,DTXSID8034580,,1577,1577_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,5000,mg/kg-day,286.347,0.0175,1.7579,,Peer review of the pesticide risk assessment of the active substance ethofumesate 20160119,https://doi.org/doi:10.2903/j.efsa.2016.4374,,917890,ToxVal00035_ab54ea1d8f411a71
,Ethofumesate,26225-79-6,CCOC(C1(C)C)Oc(cc2)c1cc2OS(C)(=O)=O,DTXSID8034580,,1578,1578_EFSADB,EFSA,EFSA,acute,eco,mallard duck,oral,=,3776,mg/kg-day,286.347,0.0132,1.8799,,Peer review of the pesticide risk assessment of the active substance ethofumesate 20160119,https://doi.org/doi:10.2903/j.efsa.2016.4374,,917892,ToxVal00035_ab54ea1d8f411a71
,Ethofumesate,26225-79-6,CCOC(C1(C)C)Oc(cc2)c1cc2OS(C)(=O)=O,DTXSID8034580,,1579,1579_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,3776,mg/kg-day,286.347,0.0132,1.8799,,Peer review of the pesticide risk assessment of the active substance ethofumesate 20160119,https://doi.org/doi:10.2903/j.efsa.2016.4374,,917893,ToxVal00035_ab54ea1d8f411a71
,Metam-sodium,-,CNC([S-])=S.[Na+],NODTXSID,,1580,1580_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,211,mg/kg-day,129.183,0.0016,2.7869,,Conclusion on the peer review of the pesticide risk assessment of the active substance metam 20110912,https://doi.org/doi:10.2903/j.efsa.2011.2334,,917895,ToxVal00035_cdb0b7b4744f88e8
,Methyl isothiocyanate,556-61-6,CN=C=S,DTXSID2027204,,1581,1581_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,147,mg/kg-day,73.1188,0.0020,2.6967,,Conclusion on the peer review of the pesticide risk assessment of the active substance metam 20110912,https://doi.org/doi:10.2903/j.efsa.2011.2334,,917899,ToxVal00035_7d036bfa1fc19d76
,Metam-sodium,-,CNC([S-])=S.[Na+],NODTXSID,,1582,1582_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,147,mg/kg-day,129.183,0.0011,2.9439,,Conclusion on the peer review of the pesticide risk assessment of the active substance metam 20110912,https://doi.org/doi:10.2903/j.efsa.2011.2334,,917900,ToxVal00035_cdb0b7b4744f88e8
,Fenazaquin,120928-09-8,CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1,DTXSID4040476,,1583,1583_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,1747,mg/kg-day,306.408,0.0057,2.2440,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenazaquin 20130404,https://doi.org/doi:10.2903/j.efsa.2013.3166,,917901,ToxVal00035_57f16ff8ede20044
,Fenazaquin,120928-09-8,CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1,DTXSID4040476,,1584,1584_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,>,1169,mg/kg-day,306.408,0.0038,2.4185,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenazaquin 20130404,https://doi.org/doi:10.2903/j.efsa.2013.3166,,917902,ToxVal00035_57f16ff8ede20044
,Fenazaquin,120928-09-8,CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1,DTXSID4040476,,1585,1585_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,134,mg/kg-day,306.408,0.0004,3.3592,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenazaquin 20130404,https://doi.org/doi:10.2903/j.efsa.2013.3166,,917904,ToxVal00035_57f16ff8ede20044
,Thiencarbazone-methyl,317815-83-1,Cc([s]cc1C(OC)=O)c1S(NC(N(C(N1C)=O)N=C1OC)=O)(=O)=O,DTXSID0058275,,1586,1586_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg-day,390.396,0.0051,2.2905,,Conclusion on the peer review of the pesticide risk assessment of the active substance thiencarbazone-methyl 20130701,https://doi.org/doi:10.2903/j.efsa.2013.3270,,917906,ToxVal00035_9205233230931d64
,Thiencarbazone-methyl,317815-83-1,Cc([s]cc1C(OC)=O)c1S(NC(N(C(N1C)=O)N=C1OC)=O)(=O)=O,DTXSID0058275,,1587,1587_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,>,699,mg/kg-day,390.396,0.0018,2.7470,,Conclusion on the peer review of the pesticide risk assessment of the active substance thiencarbazone-methyl 20130701,https://doi.org/doi:10.2903/j.efsa.2013.3270,,917907,ToxVal00035_9205233230931d64
,Thiencarbazone-methyl,317815-83-1,Cc([s]cc1C(OC)=O)c1S(NC(N(C(N1C)=O)N=C1OC)=O)(=O)=O,DTXSID0058275,,1588,1588_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2000,mg/kg-day,390.396,0.0051,2.2905,,Conclusion on the peer review of the pesticide risk assessment of the active substance thiencarbazone-methyl 20130701,https://doi.org/doi:10.2903/j.efsa.2013.3270,,917909,ToxVal00035_9205233230931d64
,Fenpyroximate,134098-61-6,CC(C)(C)OC(c1ccc(CON=Cc(c(C)n[n]2C)c2Oc2ccccc2)cc1)=O,DTXSID7032557,,1589,1589_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,245,mg/kg,421.495,0.0006,3.2356,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenpyroximate 20131213,https://doi.org/doi:10.2903/j.efsa.2013.3493,,917911,ToxVal00035_d1d6bba536e4467c
,Fenpyroximate,134098-61-6,CC(C)(C)OC(c1ccc(CON=Cc(c(C)n[n]2C)c2Oc2ccccc2)cc1)=O,DTXSID7032557,,1590,1590_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg,421.495,0.0047,2.3238,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenpyroximate 20131213,https://doi.org/doi:10.2903/j.efsa.2013.3493,,917913,ToxVal00035_d1d6bba536e4467c
,Fenpyroximate,134098-61-6,CC(C)(C)OC(c1ccc(CON=Cc(c(C)n[n]2C)c2Oc2ccccc2)cc1)=O,DTXSID7032557,,1591,1591_EFSADB,EFSA,EFSA,acute,eco,mallard duck,oral,>,2000,mg/kg,421.495,0.0047,2.3238,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenpyroximate 20131213,https://doi.org/doi:10.2903/j.efsa.2013.3493,,917914,ToxVal00035_d1d6bba536e4467c
,Fenpyroximate,134098-61-6,CC(C)(C)OC(c1ccc(CON=Cc(c(C)n[n]2C)c2Oc2ccccc2)cc1)=O,DTXSID7032557,,1592,1592_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,>,744,mg/kg-day,421.495,0.0018,2.7532,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenpyroximate 20131213,https://doi.org/doi:10.2903/j.efsa.2013.3493,,917915,ToxVal00035_d1d6bba536e4467c
,Fenpyroximate,134098-61-6,CC(C)(C)OC(c1ccc(CON=Cc(c(C)n[n]2C)c2Oc2ccccc2)cc1)=O,DTXSID7032557,,1593,1593_EFSADB,EFSA,EFSA,acute,human health,rat,-,=,5277,mg/kg,421.495,0.0125,1.9024,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenpyroximate 20131213,https://doi.org/doi:10.2903/j.efsa.2013.3493,,917919,ToxVal00035_d1d6bba536e4467c
,Topramezone,210631-68-8,Cc(c(C1=NOCC1)c(cc1)S(C)(=O)=O)c1C(C1=CNN(C)C1=O)=O,DTXSID0034722,,1594,1594_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg-day,363.393,0.0055,2.2593,,Conclusion on the peer review of the pesticide risk assessment of the active substance topramezone 20140203,https://doi.org/doi:10.2903/j.efsa.2014.3540,,917920,ToxVal00035_331c04c122e88fc1
,Topramezone,210631-68-8,Cc(c(C1=NOCC1)c(cc1)S(C)(=O)=O)c1C(C1=CNN(C)C1=O)=O,DTXSID0034722,,1595,1595_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,>,1085,mg/kg-day,363.393,0.0030,2.5249,,Conclusion on the peer review of the pesticide risk assessment of the active substance topramezone 20140203,https://doi.org/doi:10.2903/j.efsa.2014.3540,,917921,ToxVal00035_331c04c122e88fc1
,Topramezone,210631-68-8,Cc(c(C1=NOCC1)c(cc1)S(C)(=O)=O)c1C(C1=CNN(C)C1=O)=O,DTXSID0034722,,1596,1596_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2000,mg/kg-day,363.393,0.0055,2.2593,,Conclusion on the peer review of the pesticide risk assessment of the active substance topramezone 20140203,https://doi.org/doi:10.2903/j.efsa.2014.3540,,917923,ToxVal00035_331c04c122e88fc1
,Sulfoxaflor,-,CC(c1cnc(C(F)(F)F)cc1)S(C)(=NC#N)=O,NODTXSID,,1597,1597_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,676,mg/kg,277.269,0.0024,2.6130,,Conclusion on the peer review of the pesticide risk assessment of the active substance sulfoxaflor 20140521,https://doi.org/doi:10.2903/j.efsa.2014.3692,,917926,ToxVal00035_859e9acf813401b7
,Sulfoxaflor,-,CC(c1cnc(C(F)(F)F)cc1)S(C)(=NC#N)=O,NODTXSID,,1598,1598_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,>,1152,mg/kg-day,277.269,0.0042,2.3814,,Conclusion on the peer review of the pesticide risk assessment of the active substance sulfoxaflor 20140521,https://doi.org/doi:10.2903/j.efsa.2014.3692,,917927,ToxVal00035_859e9acf813401b7
,Sulfoxaflor,-,CC(c1cnc(C(F)(F)F)cc1)S(C)(=NC#N)=O,NODTXSID,,1599,1599_EFSADB,EFSA,EFSA,short-term,eco,mallard duck,oral,>,1049,mg/kg-day,277.269,0.0038,2.4221,,Conclusion on the peer review of the pesticide risk assessment of the active substance sulfoxaflor 20140521,https://doi.org/doi:10.2903/j.efsa.2014.3692,,917928,ToxVal00035_859e9acf813401b7
,Sulfoxaflor,-,CC(c1cnc(C(F)(F)F)cc1)S(C)(=NC#N)=O,NODTXSID,,1600,1600_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,1000,mg/kg,277.269,0.0036,2.4429,,Conclusion on the peer review of the pesticide risk assessment of the active substance sulfoxaflor 20140521,https://doi.org/doi:10.2903/j.efsa.2014.3692,,917931,ToxVal00035_859e9acf813401b7
,Sulfoxaflor,-,CC(c1cnc(C(F)(F)F)cc1)S(C)(=NC#N)=O,NODTXSID,,1601,1601_EFSADB,EFSA,EFSA,acute,human health,mouse,oral,=,750,mg/kg,277.269,0.0027,2.5678,,Conclusion on the peer review of the pesticide risk assessment of the active substance sulfoxaflor 20140521,https://doi.org/doi:10.2903/j.efsa.2014.3692,,917932,ToxVal00035_859e9acf813401b7
