Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Reference DB source,URL,ToxVal_ID,Chemical_ID
,"[(1R)-2,2,3-Trimethylcyclopent-3-en-1-yl]acetaldehyde",4501-58-0,CC1(C)C(C)=CC[C@@H]1CC=O,DTXSID3044756,,481,481_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4100,mg/kg,152.236,0.0269,1.5697,"EFSA Group 12 Rev 5 Acute Toxicity Data (Moreno, 1978) (Moreno, 1978)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60458,ToxVal00036_019ff4bffa7b78b1
,"3-Cyclopentene-1-ethanol, 2,2,3-trimethyl-, acetate, (S)-",36789-59-0,CC1(C)C(C)=CC[C@H]1CCOC(C)=O,DTXSID801196688,,482,482_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3000,mg/kg,196.289,0.0153,1.8158,"EFSA Group 12 Rev 5 Acute Toxicity Data (Piccirillo et al., 1979) (Piccirillo et al., 1979)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60459,ToxVal00036_647aef8dca4acb09
,"2-(2,2,3-Trimethylcyclopent-3-en-1-yl)ethan-1-ol",1901-38-8,CC1(C)C(C)=CCC1CCO,DTXSID30862779,,483,483_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1000,mg/kg,154.252,0.0065,2.1882,"EFSA Group 12 Rev 5 Acute Toxicity Data (Levenstein, 1982) (Levenstein, 1982)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60460,ToxVal00036_1361b0bab4819b2c
,4-(1-Methylethyl)-3-cyclohexene-1-carboxylic acid,71298-42-5,CC(C)C(CC1)=CCC1C(O)=O,DTXSID70866559,,484,484_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2500,mg/kg,168.235,0.0149,1.8280,"EFSA Group 12 Rev 5 Acute Toxicity Data (Levenstein, 1981) (Levenstein, 1981)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60461,ToxVal00036_ce1d7177ca8e7d93
,"4-(2,6,6-Trimethylcyclohexenyl)-2-methylbutanal",73398-85-3,CC(CCC1=C(C)CCCC1(C)C)C=O,NODTXSID,,485,485_EFSA2NB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,208.344,0.0240,1.6198,"EFSA Group 12 Rev 5 Acute Toxicity Data (Moreno, 1977a) (Moreno, 1977a)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60462,ToxVal00036_580e5929823bae42
,"Bicyclo[3.1.1]hept-2-ene-2-ethanol, 6,6-dimethyl-",128-50-7,CC1(C)C2C(CCO)=CCC1C2,DTXSID10861780,,486,486_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,890,mg/kg,166.263,0.0054,2.2714,"EFSA Group 12 Rev 5 Acute Toxicity Data (Moreno, 1977b) (Moreno, 1977b)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60463,ToxVal00036_bdcea37e807dc3a0
,Cyclohexaneethanol,4442-79-9,OCCC1CCCCC1,DTXSID7063473,,487,487_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,940,mg/kg,128.214,0.0073,2.1348,"EFSA Group 12 Rev 5 Acute Toxicity Data (Wohl, 1974b) (Wohl, 1974b)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60464,ToxVal00036_7ccef54ade1bca06
,Isocyclocitral,1335-66-6,CC(CC(C)=CC1C)C1C=O,DTXSID8044541,,488,488_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4.5,mL/kg,152.236,0.0000,4.5293,"EFSA Group 12 Rev 5 Acute Toxicity Data (Levenstein, 1973) (Levenstein, 1973)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60465,ToxVal00036_352cf7cdd629a589
,Furfural,98-01-1,O=Cc1ccc[o]1,DTXSID1020647,,489,489_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,90,mg/kg,96.0848,0.0009,3.0284,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Brown, 1982) (Brown, 1982)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60466,ToxVal00036_13b0d898dfd02ac5
,5-(Hydroxymethyl)-2-furfural,67-47-0,OCc1ccc(C=O)[o]1,DTXSID3030428,,490,490_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3100,mg/kg,126.111,0.0246,1.6094,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Simonyan, 1969) (Simonyan, 1969)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60467,ToxVal00036_35255fcdfe5faf95
,5-(Hydroxymethyl)-2-furfural,67-47-0,OCc1ccc(C=O)[o]1,DTXSID3030428,,491,491_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2500,mg/kg,126.111,0.0198,1.7028,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Warf Institute, 1977) (Warf Institute, 1977)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60468,ToxVal00036_35255fcdfe5faf95
,5-(Hydroxymethyl)-2-furfural,67-47-0,OCc1ccc(C=O)[o]1,DTXSID3030428,,492,492_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1910,mg/kg,126.111,0.0151,1.8197,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Simonyan, 1969) (Simonyan, 1969)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60469,ToxVal00036_35255fcdfe5faf95
,5-(Hydroxymethyl)-2-furfural,67-47-0,OCc1ccc(C=O)[o]1,DTXSID3030428,,493,493_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,2000,mg/kg,126.111,0.0159,1.7997,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Czok, 1970) (Czok, 1970)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60470,ToxVal00036_35255fcdfe5faf95
,5-methyl-2-Furancarboxaldehyde,620-02-0,Cc1ccc(C=O)[o]1,DTXSID1060714,,494,494_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2200,mg/kg,110.112,0.0200,1.6994,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1978g) (Moreno, 1978g)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60471,ToxVal00036_2b533db55d07d182
,"2-Furancarboxylic acid, methyl ester",611-13-2,COC(c1ccc[o]1)=O,DTXSID7060598,,495,495_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,300,mg/kg,126.111,0.0024,2.6236,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Great Lakes Chemical Corp., 1998) (Great Lakes Chemical Corp., 1998)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60472,ToxVal00036_3c3c8bc7eeba7c7e
,"2-Furancarboxylic acid, methyl ester",611-13-2,COC(c1ccc[o]1)=O,DTXSID7060598,,496,496_EFSA2DB,EFSA2,-,acute,human health,rat,injection,=,100,mg/kg,126.111,0.0008,3.1008,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Phatak & Emerson, 1936) (Phatak & Emerson, 1936)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60473,ToxVal00036_3c3c8bc7eeba7c7e
,"2-Furancarboxylic acid, ethyl ester",614-99-3,CCOC(c1ccc[o]1)=O,DTXSID0060640,,497,497_EFSA2DB,EFSA2,-,acute,human health,rat,injection,=,75,mg/kg,140.138,0.0005,3.2715,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Phatak & Emerson, 1936) (Phatak & Emerson, 1936)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60474,ToxVal00036_76e223276c447e2c
,Propyl 2-furoate,615-10-1,CCCOC(c1ccc[o]1)=O,DTXSID00210465,,498,498_EFSA2DB,EFSA2,-,acute,human health,rat,injection,=,75,mg/kg,154.164,0.0005,3.3129,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Phatak & Emerson, 1936) (Phatak & Emerson, 1936)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60475,ToxVal00036_7158253ea31cf180
,Butyl 2-furoate,583-33-5,CCCCOC(c1ccc[o]1)=O,DTXSID30207025,,499,499_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1500,mg/kg,168.191,0.0089,2.0497,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Stasenkova & Shchirskaya, 1967) (Stasenkova & Shchirskaya, 1967)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60476,ToxVal00036_c72ccc94b7e2222e
,Butyl 2-furoate,583-33-5,CCCCOC(c1ccc[o]1)=O,DTXSID30207025,,500,500_EFSA2DB,EFSA2,-,acute,human health,rat,injection,=,100,mg/kg,168.191,0.0006,3.2258,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Phatak & Emerson, 1936) (Phatak & Emerson, 1936)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60477,ToxVal00036_c72ccc94b7e2222e
,Amyl furoate,1334-82-3,CCCCCOC(c1ccc[o]1)=O,DTXSID9061679,,501,501_EFSA2DB,EFSA2,-,acute,human health,rat,injection,=,250,mg/kg,182.218,0.0014,2.8627,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Phatak & Emerson, 1936) (Phatak & Emerson, 1936)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60478,ToxVal00036_88bdeb0a0ae47ec0
,2-Methyl-3-furanthiol,28588-74-1,Cc([o]cc1)c1S,DTXSID5047118,,502,502_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,100,mg/kg,114.168,0.0009,3.0575,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Oser, 1969a) (Oser, 1969a)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60479,ToxVal00036_1a729c9a1bb32c4e
,2-Methyl-3-furanthiol,28588-74-1,Cc([o]cc1)c1S,DTXSID5047118,,503,503_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,100,mg/kg,114.168,0.0009,3.0575,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moran et al., 1980) (Moran et al., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60480,ToxVal00036_1a729c9a1bb32c4e
,Methyl 2-methyl-3-furyl disulfide,65505-17-1,Cc([o]cc1)c1SSC,DTXSID9047704,,504,504_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,142,mg/kg,160.261,0.0009,3.0525,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moran et al., 1980) (Moran et al., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60481,ToxVal00036_e5af340378622e0d
,Propyl 2-methyl-3-furyl disulfide,61197-09-9,CCCSSc1c(C)[o]cc1,DTXSID30210094,,505,505_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,284,mg/kg,188.314,0.0015,2.8216,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moran et al., 1980) (Moran et al., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60482,ToxVal00036_549bc1456f58f299
,Bis(2-methyl-3-furyl)disulfide,28588-75-2,Cc([o]cc1)c1SSc1c(C)[o]cc1,DTXSID9047673,,506,506_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,106,mg/kg,226.319,0.0005,3.3294,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Oser, 1969b) (Oser, 1969b)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60483,ToxVal00036_e06193732a7fc4cb
,"2,5-Dimethyl-3-furanthiol",55764-23-3,Cc1cc(S)c(C)[o]1,DTXSID10204315,,507,507_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,544,mg/kg,128.195,0.0042,2.3723,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Fogleman & Suppers, 1973a) (Fogleman & Suppers, 1973a)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60484,ToxVal00036_09123fcab50ff91d
,"2,5-Dimethyl-3-furanthiol",55764-23-3,Cc1cc(S)c(C)[o]1,DTXSID10204315,,508,508_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,360,mg/kg,128.195,0.0028,2.5516,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moran et al., 1980) (Moran et al., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60485,ToxVal00036_09123fcab50ff91d
,2-Furylmethanethiol,98-02-2,SCc1ccc[o]1,DTXSID7052654,,509,509_EFSA2DB,EFSA2,-,acute,human health,mouse,injection,=,100,mg/kg,114.168,0.0009,3.0575,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Doull et al., 1962) (Doull et al., 1962)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60486,ToxVal00036_0e3191aa568770cb
,Tetrahydro-2-methyl-3-furanthiol,57124-87-5,CC1OCCC1S,DTXSID10866614,,510,510_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1860,mg/kg,118.199,0.0157,1.8031,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Oser, 1970c) (Oser, 1970c)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60487,ToxVal00036_be778f1cee37e1e4
,Bis(2-methyl-3-furyl) tetrasulfide,28588-76-3,Cc([o]cc1)c1SSSSc1c(C)[o]cc1,DTXSID10182785,,511,511_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,220,mg/kg,290.451,0.0008,3.1207,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Oser, 1970c) (Oser, 1970c)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60488,ToxVal00036_6eaef95347159a94
,Bis(2-methyl-3-furyl) tetrasulfide,28588-76-3,Cc([o]cc1)c1SSSSc1c(C)[o]cc1,DTXSID10182785,,512,512_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,220,mg/kg,290.451,0.0008,3.1207,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moran et al., 1980) (Moran et al., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60489,ToxVal00036_6eaef95347159a94
,"2,5-Dimethyl-3-thioisovalerylfuran",55764-28-8,CC(C)CC(c1c(C)[o]c(C)c1)=S,DTXSID70204316,,513,513_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,580,mg/kg,196.313,0.0030,2.5295,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Fogleman & Suppers, 1974a) (Fogleman & Suppers, 1974a)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60490,ToxVal00036_0c4466ba85427e63
,"2,5-Dimethyl-3-thioisovalerylfuran",55764-28-8,CC(C)CC(c1c(C)[o]c(C)c1)=S,DTXSID70204316,,514,514_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,720,mg/kg,196.313,0.0037,2.4356,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Fogleman & Suppers, 1973b) (Fogleman & Suppers, 1973b)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60491,ToxVal00036_0c4466ba85427e63
,"2,5-Dimethyl-3-thioisovalerylfuran",55764-28-8,CC(C)CC(c1c(C)[o]c(C)c1)=S,DTXSID70204316,,515,515_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,580,mg/kg,196.313,0.0030,2.5295,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moran et al., 1980) (Moran et al., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60492,ToxVal00036_0c4466ba85427e63
,"2,5-Dimethyl-3-thiofuroylfuran",65505-16-0,Cc1cc(C(c2ccc[o]2)=O)c(C)[s]1,DTXSID50215809,,516,516_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,625,mg/kg,206.264,0.0030,2.5185,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Fogleman & Suppers, 1974b) (Fogleman & Suppers, 1974b)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60493,ToxVal00036_9b5374cc7aa12ff5
,"2,5-Dimethyl-3-thiofuroylfuran",65505-16-0,Cc1cc(C(c2ccc[o]2)=O)c(C)[s]1,DTXSID50215809,,517,517_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,625,mg/kg,206.264,0.0030,2.5185,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Fogleman & Suppers, 1973a) (Fogleman & Suppers, 1973a)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60494,ToxVal00036_9b5374cc7aa12ff5
,"2,5-Dimethyl-3-thiofuroylfuran",65505-16-0,Cc1cc(C(c2ccc[o]2)=O)c(C)[s]1,DTXSID50215809,,518,518_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,540,mg/kg,206.264,0.0026,2.5820,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moran et al., 1980) (Moran et al., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60495,ToxVal00036_9b5374cc7aa12ff5
,3-(2-Methyl-3-furylthio)-4-heptanone,61295-41-8,CCCC(C(CC)Sc1c(C)[o]cc1)=O,DTXSID6047157,,519,519_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,425,mg/kg,226.339,0.0019,2.7264,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moran et al., 1980) (Moran et al., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60496,ToxVal00036_620e0f42f1d5dc44
,Ethyl 3-(furfurylthio)propionate,94278-27-0,CCOC(CCSCc1ccc[o]1)=O,DTXSID30241388,,520,520_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,5000,mg/kg,214.284,0.0233,1.6320,"EFSA Group 13 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Griffiths & Babish, 1977a) (Griffiths & Babish, 1977a)",http://www.efsa.europa.eu/en/efsajournal/pub/2313,60497,ToxVal00036_d217f9e98369f55b
,3-Phenyl-1-propanol,122-97-4,OCCCc1ccccc1,DTXSID6041638,,521,521_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2300,mg/kg,136.193,0.0169,1.7724,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Moreno, 1976p) (Moreno, 1976p)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60498,ToxVal00036_c454631829cbca18
,3-Phenyl-1-propanol,122-97-4,OCCCc1ccccc1,DTXSID6041638,,522,522_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2250,mg/kg,136.193,0.0165,1.7820,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Wong & Weir, 1971a) (Wong & Weir, 1971a)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60499,ToxVal00036_c454631829cbca18
,3-Phenylpropanal,104-53-0,O=CCCc1ccccc1,DTXSID0047610,,523,523_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,134.177,0.0373,1.4287,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Russell, 1973d) (Russell, 1973d)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60500,ToxVal00036_012d6de39c981616
,Cinnamic acid,621-82-9,OC(C=Cc1ccccc1)=O,DTXSID40110056,,524,524_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3570,mg/kg,148.161,0.0241,1.6181,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Levenstein, 1976e) (Levenstein, 1976e)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60501,ToxVal00036_0b6f134cb66f743e
,Hydrocinnamic acid,501-52-0,OC(CCc1ccccc1)=O,DTXSID2047064,,525,525_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,913,mg/kg,150.176,0.0061,2.2161,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Schafer & Bowles, 1985) (Schafer & Bowles, 1985)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60502,ToxVal00036_c31d057b50301db9
,Hydrocinnamic acid,501-52-0,OC(CCc1ccccc1)=O,DTXSID2047064,,526,526_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1600,mg/kg,150.176,0.0107,1.9725,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Schafer & Bowles, 1985) (Schafer & Bowles, 1985)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60503,ToxVal00036_c31d057b50301db9
,3-Phenylpropyl acetate,122-72-5,CC(OCCCc1ccccc1)=O,DTXSID2047648,,527,527_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4700,mg/kg,178.23,0.0264,1.5789,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Moreno, 1973j) (Moreno, 1973j)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60504,ToxVal00036_6e738f6caed2e3cc
,"Benzenepropanol, 1-formate",104-64-3,O=COCCCc1ccccc1,DTXSID40861713,,528,528_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4090,mg/kg,164.203,0.0249,1.6037,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Levenstein, 1975e) (Levenstein, 1975e)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60505,ToxVal00036_c50c2071a432f1f1
,"Benzenepropanol, 1-propanoate",122-74-7,CCC(OCCCc1ccccc1)=O,DTXSID80861757,,529,529_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,192.257,0.0260,1.5849,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Moreno, 1977p) (Moreno, 1977p)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60506,ToxVal00036_e9d3afdd44a83db4
,3-Phenylpropyl isobutyrate,103-58-2,CC(C)C(OCCCc1ccccc1)=O,DTXSID7059276,,530,530_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,206.284,0.0242,1.6155,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Levenstein, 1975f) (Levenstein, 1975f)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60507,ToxVal00036_13eb51f3268cf87f
,Propyl cinnamate,74513-58-9,CCCOC(C=Cc1ccccc1)=O,DTXSID00225514,,531,531_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,7000,mg/kg,190.241,0.0368,1.4342,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Draize et al., 1948) (Draize et al., 1948)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60508,ToxVal00036_cb7bb629320748d2
,"2-Propenoic acid, 3-phenyl-, 1-methylethyl ester",7780-06-5,CC(C)OC(C=Cc1ccccc1)=O,DTXSID3064809,,532,532_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,190.241,0.0263,1.5803,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Moreno, 1982h) (Moreno, 1982h)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60509,ToxVal00036_c0bf5546acff90cc
,Butyl cinnamate,538-65-8,CCCCOC(C=Cc1ccccc1)=O,DTXSID0060226,,533,533_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,204.268,0.0245,1.6112,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Moreno, 1977r) (Moreno, 1977r)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60510,ToxVal00036_4c72b2c95ffcfd1e
,Isobutyl 3-phenylacrylate,122-67-8,CC(C)COC(C=Cc1ccccc1)=O,DTXSID2047646,,534,534_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,204.268,0.0245,1.6112,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Levenstein, 1975g) (Levenstein, 1975g)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60511,ToxVal00036_7c751c612b12fa79
,"2-Propenoic acid, 3-phenyl-, pentyl ester",3487-99-8,CCCCCOC(C=Cc1ccccc1)=O,DTXSID7063051,,535,535_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,218.295,0.0229,1.6401,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Moreno, 1974i) (Moreno, 1974i)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60512,ToxVal00036_5f7b72b7461f5e42
,Linalyl cinnamate,78-37-5,CC(CCC=C(C)C)(C=C)OC(C=Cc1ccccc1)=O,DTXSID4047410,,536,536_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,9960,mg/kg,284.398,0.0350,1.4557,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60513,ToxVal00036_240d8ee597a77187
,Benzyl cinnamate,103-41-3,O=C(C=Cc1ccccc1)OCc1ccccc1,DTXSID3041663,,537,537_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3280,mg/kg,238.285,0.0138,1.8612,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Wolven & Levenstein, 1972) (Wolven & Levenstein, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60514,ToxVal00036_940ce1ffaf290001
,Methyl cinnamate,103-26-4,COC(C=Cc1ccccc1)=O,DTXSID6042151,,538,538_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2610,mg/kg,162.187,0.0161,1.7934,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Wong & Weir, 1971b) (Wong & Weir, 1971b)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60515,ToxVal00036_76f7c124eeeef0d7
,Phenethyl cinnamate,103-53-7,O=C(C=Cc1ccccc1)OCCc1ccccc1,DTXSID1047605,,539,539_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,252.312,0.0198,1.7030,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Moreno, 1975k) (Moreno, 1975k)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60516,ToxVal00036_9d77b77e0f71e2f8
,Phenethyl cinnamate,103-53-7,O=C(C=Cc1ccccc1)OCCc1ccccc1,DTXSID1047605,,540,540_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,5000,mg/kg,252.312,0.0198,1.7030,"EFSA Group 15 Rev. 2 Oral acute toxicity data for candidate and supporting chemicals (Levenstein, 1975h) (Levenstein, 1975h)",http://www.efsa.europa.eu/en/efsajournal/pub/2563,60517,ToxVal00036_9d77b77e0f71e2f8
