Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Reference DB source,URL,ToxVal_ID,Chemical_ID
,2-Octanone,111-13-7,CCCCCCC(C)=O,DTXSID4021927,,207,207_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,3870,mg/kg,128.214,0.0302,1.5202,EFSA Group 07 Rev 5 Acute Toxicity Data Tanii et al. (1986) Tanii et al. (1986),http://www.efsa.europa.eu/en/topics/topic/flavourings,60184,ToxVal00036_8007a3058bfbd34b
,2-Octanol,123-96-6,CCCCCCC(C)O,DTXSID0027014,,208,208_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3200,mg/kg,130.23,0.0246,1.6096,EFSA Group 07 Rev 5 Acute Toxicity Data Patty et al. (1935) Patty et al. (1935),http://www.efsa.europa.eu/en/topics/topic/flavourings,60185,ToxVal00036_d737023d2bf70fd3
,3-Octanone,106-68-3,CCCCCC(CC)=O,DTXSID3041954,,209,209_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,128.214,0.0390,1.4090,EFSA Group 07 Rev 5 Acute Toxicity Data Shelanski and Moldovan (1973) Shelanski and Moldovan (1973),http://www.efsa.europa.eu/en/topics/topic/flavourings,60186,ToxVal00036_07375ac0c700febb
,2-Nonanone,821-55-6,CCCCCCCC(C)=O,DTXSID2022125,,210,210_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,7992,mg/kg,142.241,0.0562,1.2504,EFSA Group 07 Rev 5 Acute Toxicity Data Tanii et al. (1986) Tanii et al. (1986),http://www.efsa.europa.eu/en/topics/topic/flavourings,60187,ToxVal00036_ee1096e0514e697a
,2-Decanone,693-54-9,CCCCCCCCC(C)=O,DTXSID9022104,,211,211_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,7936,mg/kg,156.268,0.0508,1.2943,EFSA Group 07 Rev 5 Acute Toxicity Data Tanii et al. (1986) Tanii et al. (1986),http://www.efsa.europa.eu/en/topics/topic/flavourings,60188,ToxVal00036_b359917a931b0ad8
,2-Undecanone,112-12-9,CCCCCCCCCC(C)=O,DTXSID2021943,,212,212_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,950,mg/kg,170.295,0.0056,2.2535,EFSA Group 07 Rev 5 Acute Toxicity Data Schafer and Bowles (1985) Schafer and Bowles (1985),http://www.efsa.europa.eu/en/topics/topic/flavourings,60189,ToxVal00036_19e0c7d313cfd67d
,2-Undecanone,112-12-9,CCCCCCCCCC(C)=O,DTXSID2021943,,213,213_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,5460,mg/kg,170.295,0.0321,1.4940,EFSA Group 07 Rev 5 Acute Toxicity Data Tanii et al. (1986) Tanii et al. (1986),http://www.efsa.europa.eu/en/topics/topic/flavourings,60190,ToxVal00036_19e0c7d313cfd67d
,3-Methyl-2-butanone,563-80-4,CC(C)C(C)=O,DTXSID0022062,,214,214_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,2572,mg/kg,86.1334,0.0299,1.5249,EFSA Group 07 Rev 5 Acute Toxicity Data Tanii et al. (1986) Tanii et al. (1986),http://www.efsa.europa.eu/en/topics/topic/flavourings,60191,ToxVal00036_360df1c82db41ffa
,3-Methyl-2-butanone,563-80-4,CC(C)C(C)=O,DTXSID0022062,,215,215_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,148,mg/kg,86.1334,0.0017,2.7649,EFSA Group 07 Rev 5 Acute Toxicity Data Kennedy and Graepel (1991) Kennedy and Graepel (1991),http://www.efsa.europa.eu/en/topics/topic/flavourings,60192,ToxVal00036_360df1c82db41ffa
,4-Methyl-2-pentanone,108-10-1,CC(C)CC(C)=O,DTXSID5021889,,216,216_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2080,mg/kg,100.16,0.0208,1.6826,EFSA Group 07 Rev 5 Acute Toxicity Data Smyth et al. (1951) Smyth et al. (1951),http://www.efsa.europa.eu/en/topics/topic/flavourings,60193,ToxVal00036_34b4b92934156f72
