PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,Agonist_Activity,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0005215015 uM,Activity at 0.00156 uM,Activity at 0.00466 uM,Activity at 0.00590 uM,Activity at 0.014 uM,Activity at 0.042 uM,Activity at 0.068 uM,Activity at 0.127 uM,Activity at 0.378 uM,Activity at 0.782 uM,Activity at 1.156 uM,Activity at 3.420 uM,Activity at 5.843 uM,Activity at 10.21 uM,Activity at 30.24 uM,Activity at 43.68 uM,Activity at 92.27 uM,Activity at 218.9 uM,Activity at 489.4 uM,Activity at 1094.5 uM,Activity at 2447.4 uM,Activity at 5811.1 uM,Activity at 12995.4 uM,Activity at 29059.9 uM,Activity at 64977.0 uM,Compound QC
2192,26757192,37517,CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163788-01/37963217,,Inactive,,,,0,,-4.75,1.4487,0.9537,15,-0.3108,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14.4968,,-0.0469,-0.9617,0.0473,1.0973,0.0065,-1.9257,-1.3064,-0.5356,-0.5484,0.1958,2.1427,2.4327,,9.2756,9.7605,14.4968,,,,,,,,,QC'd by EPA
2193,26757194,15359,CCNC1=NC(=NC(=N1)OC)NC(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163789-01/37962814,,Inactive,,,,0,,-4.95,4.9549,0.4885,2,-0.7522,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,0.6857,,-0.6079,1.0096,-1.357,1.2648,-0.1457,-0.7871,-0.7269,-0.3665,-1.6708,-0.9906,-1.8769,-0.2831,,1.9348,1.8561,0.6857,,,,,,,,,QC'd by EPA
2194,26757195,44134378,CC[C@H](C)C1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)CC=C([C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@@H]([C@@H](O7)C)NC(=O)C)OC)OC)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163790-01/37963439,,Inactive,,,,0,,-4.45,4.9549,0.7558,-17.2271,0,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-11.1876,,-0.0734,-0.4236,-0.0337,0.225,-0.1088,-1.1563,-0.242,-0.1945,-1.1175,-1.6445,0.4119,-0.5599,,5.1743,-11.8559,-11.1876,,,,,,,,,QC'd by EPA
2195,26757196,213031,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163791-01/37963110,,Inactive,,,,0,,-7.35,1,0.4319,-1.5073,0,4,0 0 0 0 0 0 0 0 1 0 1 1 1 1 1,0.1579,,-0.2581,0.1624,0.2711,0.42,-0.9955,-2.0894,-0.1509,-1.3496,-0.2455,-1.3247,0.8323,-0.2366,,0.287,-1.154,0.1579,,,,,,,,,QC'd by EPA
2196,26757197,13633097,CC1=CSC(=C1N([C@@H](C)COC)C(=O)CCl)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163792-01/37963964,,Inactive,,,,0,,,,,,,4,,-2.703,,-0.0084,-0.4037,-0.3753,-0.1972,-0.3957,-2.3447,-1.7915,-1.4781,-1.1597,-1.9108,1.0796,-0.0252,,0.394,-2.4893,-2.703,,,,,,,,,QC'd by EPA
2197,26757198,17516,CC1=CC(=CC(=C1)OC(=O)NC)C(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163793-01/37963805,,Inactive,,,,0,,,,,,,4,,0.5482,,-0.0258,-0.1488,0.9584,0.4788,0.408,-3.0339,-0.992,0.0973,-0.2609,-0.0234,1.5503,-0.1711,,1.6369,-1.5489,0.5482,,,,,,,,,QC'd by EPA
2198,26757199,73670,C1=CC=C(C(=C1)C2=NN=C(N=N2)C3=CC=CC=C3Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163794-01/37963453,,Inactive,,,,0,,-5.05,2.0479,0.9472,10,-0.6957,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9.8423,,-0.4918,0.8526,0.9762,-0.3713,-0.5736,-2.6631,-0.7576,-0.252,-1.1677,-0.3785,1.421,3.5085,,9.0306,8.7964,9.8423,,,,,,,,,QC'd by EPA
2199,26757201,22544,CC1=C(C=CC(=C1)Cl)N=CN(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163796-01/37962729,,Inactive,,,,0,,-5.8,4.9549,0.3783,-7.7096,0,4,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1,1.2238,,0.1587,0.7109,1.2591,1.8032,-1.3327,-4.024,0.2934,-0.8834,-0.0306,-4.3413,1.1729,-0.2258,,0.7873,-1.0858,1.2238,,,,,,,,,QC'd by EPA
2200,26757202,5889665,COC1=C(C=C(C=C1)/C(=C/C(=O)N2CCOCC2)/C3=CC=C(C=C3)Cl)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163797-01/37963437,,Inactive,,,,0,,-6.45,4.9549,0.4308,-3.934,0,4,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1,-0.5168,,0.2421,0.3509,0.1121,1.4544,-0.8014,-4.5284,1.6463,-1.6268,-3.4802,-4.1547,1.1897,1.0872,,0.1956,-1.7228,-0.5168,,,,,,,,,QC'd by EPA
2201,26757203,8172,C(COCCOCCO)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163798-01/37963896,,Inactive,,,,0,,-4.9,1.21,0.6165,8,-0.6838,4,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1,0.0535,,0.1716,-0.5776,-0.5924,-2.2365,-0.4333,0.075,-0.9534,0.5711,-0.3692,0.1398,-0.196,3.3404,,0.5451,-1.0053,0.0535,,,,,,,,,QC'd by EPA
2202,26757204,8172,C(COCCOCCO)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163798-02/37963894,,Inactive,,,,0,,,,,,,4,,0.4659,,,,,,-0.0254,0.903,0.1388,-1.7743,-0.1078,-2.3082,3.4846,-0.0098,,0.2134,-2.6805,0.7214,-0.3434,2.1351,-2.2208,0.4659,,,,,QC'd by EPA
2203,26757205,155909,CNC1=NC(=O)N(C(=O)N1C)C2CCC(CC2)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163799-01/37963313,,Inactive,,,,0,,,,,,,4,,-1.2626,,-1.2986,-0.7413,-0.5227,-0.1401,-1.0445,-1.9295,-0.3242,-0.2235,-0.6398,-0.5229,-0.643,-0.7035,,0.2326,-0.2044,-1.2626,,,,,,,,,QC'd by EPA
2204,26757206,16247,CC1=C(C=CC(=C1)OC(=O)NC)N(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163800-01/37963487,,Inactive,,,,0,,-4.7,0.1,0.4574,7,-2.5686,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.5857,,0.1218,-0.4738,-0.2622,2.1622,1.459,-0.3318,2.5454,1.1854,0.3092,1.1197,1.7506,2.4276,,1.4435,2.1527,3.5857,,,,,,,,,QC'd by EPA
2205,26757207,156429,CC(C)(C)C(=O)[C@H](N1C=NC=N1)OC2=CC=C(C=C2)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163801-01/37963365,,Inactive,,,,0,,,,,,,4,,5.118,,-0.2756,-0.1296,1.7861,1.7602,1.2248,-0.1751,0.623,0.9175,-1.1702,-1.484,1.2,-0.6382,,2.3558,2.5048,5.118,,,,,,,,,QC'd by EPA
2206,26757208,7555,C=CCOC1=NC(=NC(=N1)OCC=C)OCC=C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163802-01/37963997,,Inactive,,,,0,,-4.05,1,0.6651,10,-1.3696,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.1588,,-0.6885,-0.704,-2.1056,-0.629,-0.032,-2.3478,-1.5856,-2.0585,-0.1233,-3.6413,0.3835,0.0112,,1.7547,0.4653,5.1588,,,,,,,,,QC'd by EPA
2207,26757209,47866,C1CC1NC2=NC(=NC(=N2)N)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163803-01/37963647,,Inactive,,,,0,,,,,,,4,,0.4198,,0.1697,-0.2462,0.7687,0.8965,0.3581,-1.8365,-0.8925,-0.0945,-0.8908,-0.5119,1.9663,-1.0057,,1.5169,-1.3699,0.4198,,,,,,,,,QC'd by EPA
2208,26757210,15390532,C1CN(C(=O)N1)CC2=CN=C(C=C2)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163804-01/37963326,,Inactive,,,,0,,,,,,,4,,-0.4342,,-0.269,1.6639,-0.0997,0.3529,1.4427,-1.7781,-0.7886,-0.5057,-0.3105,-0.7021,0.4712,0.2117,,0.3868,-0.3053,-0.4342,,,,,,,,,QC'd by EPA
2209,26757211,50465,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163805-01/37963632,,Inactive,,,,0,,,,,,,4,,1.143,,-0.0212,0.9348,1.115,1.0869,0.0276,-2.3004,0.2128,0.0545,-1.3553,-1.1395,1.105,0.3743,,3.5396,0.5824,1.143,,,,,,,,,QC'd by EPA
2210,26757212,185588,CC1=C(C=CC(=C1)Cl)O[C@H](C)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163806-01/37963658,,Inactive,,,,0,,,,,,,4,,-2.2441,,-0.2483,-0.5241,-0.3472,0.732,-0.2093,-2.7779,0.0031,-2.8999,-0.3273,0.1321,0.42,0.7049,,0.7139,-2.0006,-2.2441,,,,,,,,,QC'd by EPA
2211,26757213,16181,CCSC(=O)N(CC(C)C)CC(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163807-01/37962749,,Inactive,,,,0,,,,,,,4,,0.2547,,0.1471,-0.85,0.1753,0.0237,-0.3199,-2.0449,0.1802,-1.0228,1.0233,-1.6983,0.4569,-1.6553,,0.402,-1.0913,0.2547,,,,,,,,,QC'd by EPA
2212,26757214,16774,CCOP(=S)(OCC)SCC(=O)NC(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163808-01/37963095,,Inactive,,,,0,,-5.3,0.7,0.4145,-7.2492,0,4,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1,0.496,,0.2214,-0.7609,0.2906,0.8376,-0.0914,-2.5402,0.1909,-0.7745,-1.0081,-2.7076,0.4456,0.3578,,0.0651,-0.6315,0.496,,,,,,,,,QC'd by EPA
2213,26757215,122087,CCC(C)(C(=O)CCl)NC(=O)C1=CC(=C(C(=C1)Cl)C)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163809-01/37963615,,Inactive,,,,0,,-5.5,0.7,0.581,-7.3279,0.5,4,0 0 0 0 0 1 0 0 0 0 1 1 1 1 1,1.8872,,-0.3831,-0.2619,0.6125,0.7428,0.4593,-3.2211,0.2826,-2.3411,-0.4663,-2.7733,0.548,0.7334,,0.4763,-0.1903,1.8872,,,,,,,,,QC'd by EPA
