PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,Agonist_Activity,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0005215015 uM,Activity at 0.00156 uM,Activity at 0.00466 uM,Activity at 0.00590 uM,Activity at 0.014 uM,Activity at 0.042 uM,Activity at 0.068 uM,Activity at 0.127 uM,Activity at 0.378 uM,Activity at 0.782 uM,Activity at 1.156 uM,Activity at 3.420 uM,Activity at 5.843 uM,Activity at 10.21 uM,Activity at 30.24 uM,Activity at 43.68 uM,Activity at 92.27 uM,Activity at 218.9 uM,Activity at 489.4 uM,Activity at 1094.5 uM,Activity at 2447.4 uM,Activity at 5811.1 uM,Activity at 12995.4 uM,Activity at 29059.9 uM,Activity at 64977.0 uM,Compound QC
811,17389167,7371,C1=CC=C(C=C1)S(=O)(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08082695-01/37961539,,Inactive,,,,0,,,,,,,4,,-0.5645,-0.5614,,-0.426,,-0.1255,-0.6143,-0.2579,-0.6062,-0.5791,-0.0571,-0.608,,-1.0265,-0.1053,-0.4695,-0.2329,-0.5645,,,,,,,,,QC'd by NIEHS/NTP
812,17389168,241,C1=CC=CC=C1,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02509563-01/37961277,,Inactive,,,,0,,,,,,,4,,-0.3055,0.1265,,0.1935,,0.0404,-0.0336,-0.3493,-0.2823,-0.2292,-0.1493,-0.319,,-0.3686,-0.1151,-0.3957,-0.0799,-0.3055,,,,,,,,,QC'd by NIEHS/NTP
813,17389169,28780,CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07936236-01/37962153,,Inactive,,,,0,,-4.1,1.21,0.8626,14,0.2703,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,8.9338,0.0921,,0.9616,,0.2031,0.9195,-0.0394,0.7505,-0.3046,0.0078,-1.4414,,0.4592,0.3699,4.0552,3.3727,8.9338,,,,,,,,,QC'd by NIEHS/NTP
814,17389172,5462814,C(=O)(N)/N=N/C(=O)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08582939-01/37961562,,Inactive,,,,0,,,,,,,4,,-0.3072,-0.5586,,-0.3332,,-0.4383,-0.0775,-0.0563,-0.184,-0.0532,-0.2279,-0.1987,,-0.98,-0.3823,-0.5757,-0.1615,-0.3072,,,,,,,,,QC'd by NIEHS/NTP
815,17389173,447043,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02540518-01/37962007,,Inactive,,,,0,,,,,,,4,,0.7886,-0.6291,,-0.4125,,-0.4454,-0.1067,-0.9068,-2.7759,-0.62,0.7331,-3.1459,,-1.1617,-0.8691,0.2499,-0.2541,0.7886,,,,,,,,,QC'd by NIEHS/NTP
816,17389174,6537493,C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CCC(C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O[C@@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08001301-01/37962297,,Inactive,,,,0,,-4.2,3.9295,0.911,-10.4484,-0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-8.707,0.0249,,0.28,,0.2788,-0.0885,-0.4963,-0.1519,-0.4897,0.0155,-1.7362,,0.0649,-1.5103,0.626,-2.4682,-8.707,,,,,,,,,QC'd by NIEHS/NTP
817,17389175,2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07985266-01/37961049,,Inactive,,,,0,,,,,,,4,,-0.2324,-0.2479,,-1.334,,-1.0778,0.1861,-1.6516,-1.8292,-0.3955,-0.1112,-2.4442,,-0.1642,-0.3328,0.3196,0.1622,-0.2324,,,,,,,,,QC'd by NIEHS/NTP
818,17389176,6537492,C/C(=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C(=O)O)/C=C/C=C(\C)/C=C/C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08006954-01/37961059,,Inactive,,,,0,,-5.8,2.2481,0.4107,-1.5128,0.5,4,0 0 0 0 0 0 0 0 0 0 1 1 1 1,2.6627,-0.3542,,0.3692,,0.0873,1.5477,-0.3558,0.1094,0.1411,0.342,-0.7842,,-1.2607,0.0178,0.8134,1.0024,2.6627,,,,,,,,,QC'd by NIEHS/NTP
819,17389177,,,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08082682-01/37962296,,Inactive,,,,0,,-5.95,2.4064,0.8136,6,-0.2066,4,0 0 0 0 0 0 0 0 1 1 1 1 1 1,-0.4073,-0.2278,,-0.4179,,-0.0538,-0.5086,-0.3682,-0.5888,-0.527,1.9466,-0.1469,,-0.1475,-0.232,-0.4937,-0.8395,-0.4073,,,,,,,,,
820,17389178,24639,[NH4+].[O-]Cl(=O)(=O)=O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07944124-01/37961528,,Inactive,,,,0,,,,,,,4,,-1.3746,-0.9227,,0.4473,,0.3306,0.5729,0.0013,0.7091,-0.3381,0.0207,-1.1561,,-0.5763,-0.2276,0.7206,-0.4076,-1.3746,,,,,,,,,QC'd by NIEHS/NTP
821,17389179,22985,[NH4+].[N+](=O)([O-])[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02509515-01/37962100,,Inactive,,,,0,,,,,,,4,,2.0106,-0.4258,,0.294,,0.1074,0.9161,-0.0368,0.025,0.0927,-0.18,0.8539,,-0.2431,0.1308,-0.1011,0.3013,2.0106,,,,,,,,,QC'd by NIEHS/NTP
822,17389180,11065,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07944380-01/37962233,,Inactive,,,,0,,,,,,,4,,-1.6635,-0.7584,,0.7867,,0.204,0.2867,-0.1383,0.0727,-0.7159,-0.1678,-1.3695,,0.7397,-0.2972,0.2364,-0.8187,-1.6635,,,,,,,,,QC'd by NIEHS/NTP
823,17389181,16230,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07980947-01/37962259,,Inactive,,,,0,,,,,,,4,,6.3073,-0.3258,,1.2038,,-0.1187,1.378,-0.7547,-0.919,0.27,1.6974,-0.9108,,0.3297,0.4358,0.877,0.4669,6.3073,,,,,,,,,QC'd by NIEHS/NTP
824,17389182,261491,C[C@@H]1[C@H]2C[C@]2(CC1=O)C(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08001275-01/37962063,,Inactive,,,,0,,,,,,,4,,-0.1651,-0.2515,,-0.4472,,-0.1925,-0.3413,-0.2539,-0.4491,-0.5018,0.3931,-0.2788,,-0.3868,-0.1747,-0.0876,-0.1285,-0.1651,,,,,,,,,QC'd by NIEHS/NTP
825,17389183,6654,CC1=CCC2CC1C2(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02509321-01/37961234,,Inactive,,,,0,,,,,,,4,,1.1982,0.0847,,0.887,,-0.0618,-0.0384,-0.113,0.2793,0.3205,-0.4037,-0.1988,,0.4058,-0.0125,0.396,0.6683,1.1982,,,,,,,,,QC'd by NIEHS/NTP
826,17389185,7407,CC(=C)C1=CC=CC=C1,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02509550-01/37961777,,Inactive,,,,0,,,,,,,4,,0.3288,-1.3055,,0.2495,,-0.1718,0.312,0.4031,0.5002,0.0305,0.2331,0.4554,,-1.588,-0.1895,0.5159,0.2354,0.3288,,,,,,,,,QC'd by NIEHS/NTP
827,17389186,5354896,C/C(=C/C1=CC=CC=C1)/C=O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08082699-01/37961518,,Inactive,,,,0,,,,,,,4,,-1.3539,-0.8392,,0.4457,,0.0398,0.8454,-1.1753,-0.7311,0.6343,-0.5451,-1.5295,,-1.5588,-0.1931,0.38,-0.22,-1.3539,,,,,,,,,QC'd by NIEHS/NTP
828,17389187,51,C(CC(=O)O)C(=O)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07944063-01/37962200,,Inactive,,,,0,,,,,,,4,,0.4003,-0.1749,,1.4638,,-0.1531,0.42,-0.3307,0.9511,-0.3327,-0.0372,0.1275,,0.1014,-0.2188,0.9436,0.7832,0.4003,,,,,,,,,QC'd by NIEHS/NTP
829,17389188,10758,C1=CC=C(C=C1)C(C#N)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07935033-01/37961453,,Inactive,,,,0,,,,,,,4,,0.2856,-0.2649,,0.241,,-0.2727,0.2677,-0.3919,0.3666,-1.0663,0.0634,-0.2206,,0.1298,-1.2374,0.6939,-0.3319,0.2856,,,,,,,,,QC'd by NIEHS/NTP
830,17389189,444913,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02540554-01/37961875,,Inactive,,,,0,,,,,,,4,,-0.5688,0.61,,0.8103,,-0.2992,0.482,0.2389,0.9054,-0.1546,0.0074,-1.1507,,-0.2241,-0.0982,0.1689,0.5132,-0.5688,,,,,,,,,QC'd by NIEHS/NTP
831,17389190,7498,C1=CC=C(C=C1)CBr,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08082676-01/37962227,,Inactive,,,,0,,,,,,,4,,-1.5998,-1.3837,,-0.1156,,-0.5715,0.3874,-1.2985,-0.5791,-0.5896,0.3229,-1.8371,,-1.2893,0.2897,-0.1088,0.0128,-1.5998,,,,,,,,,QC'd by NIEHS/NTP
832,17389191,7411,C1=CC=C(C=C1)C(Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07990235-01/37962162,,Inactive,,,,0,,-6.15,1.6604,0.944,-3.3434,0,4,0 0 0 0 0 0 0 0 0 1 1 1 1 1,-2.0644,0.504,,-0.1458,,0.2723,-0.3639,0.0314,-0.4447,-0.7845,-1.9752,-2.7861,,-0.8513,-0.802,0.3566,0.9202,-2.0644,,,,,,,,,QC'd by NIEHS/NTP
833,17389192,1549517,C=CCNC(=S)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07993166-01/37961665,,Inactive,,,,0,,-5.75,4.095,0.851,-5.7672,0,4,0 0 0 0 0 0 0 0 0 1 1 1 1 1,0.6266,0.8036,,0.2872,,-0.034,-0.2026,-0.3782,-0.2915,-0.6777,-0.1904,-3.1393,,-1.0467,-0.9673,1.0064,0.2701,0.6266,,,,,,,,,QC'd by NIEHS/NTP
834,17389193,61410,CCCCCCCCC(=O)OCC=C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07980957-01/37961200,,Inactive,,,,0,,-3.5,1,0.4638,-6.5709,-0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.1424,-0.1984,,-1.0074,,-0.1132,-0.0475,-0.1454,0.5682,-0.142,-0.8277,-0.5057,,-0.9924,-0.9401,-0.1307,-1.0968,-2.1424,,,,,,,,,QC'd by NIEHS/NTP
835,17389194,7841,C=CCBr,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08006421-01/37961337,,Inactive,,,,0,,,,,,,4,,0.6504,-0.2624,,-0.4987,,-0.6188,-0.4736,-1.7929,-0.7116,-0.1292,-0.2521,-2.1265,,-0.6591,-1.8366,0.416,1.0791,0.6504,,,,,,,,,QC'd by NIEHS/NTP
836,17389195,24116,C=CCOC(=O)C1=CC=CC=C1N,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08582957-01/37961228,,Inactive,,,,0,,,,,,,4,,-0.6048,-0.2632,,-0.5848,,-1.2436,0.0084,-1.3017,0.057,-1.2929,-0.4871,-0.582,,-2.3809,-1.7428,0.0982,0.5692,-0.6048,,,,,,,,,QC'd by NIEHS/NTP
837,17389196,11584,CC(=O)OCC=C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08003910-01/37961922,,Inactive,,,,0,,,,,,,4,,-0.9044,-1.102,,-0.5854,,-0.9589,-1.1107,0.0759,-1.2135,-0.9422,0.1103,-1.4267,,-0.2035,-0.734,0.2149,-0.5091,-0.9044,,,,,,,,,QC'd by NIEHS/NTP
838,17389198,9568700,CC(C)(/C=N/OC(=O)NC)S(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02509389-01/37961452,,Inactive,,,,0,,,,,,,4,,0.0161,-0.8781,,-0.4204,,-0.1087,0.6974,-1.2196,-0.8004,-0.6235,1.1798,-2.0642,,-1.7128,-0.8658,-0.0094,-0.4737,0.0161,,,,,,,,,QC'd by NIEHS/NTP
839,17389199,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02540577-01/37961127,,Inactive,,,,0,,-5.1,2.7202,0.9738,15.5,-0.1945,4,0 0 0 0 0 0 0 0 0 0 0 0 1 1,1.8834,0.5384,,0.8695,,-0.0158,-0.1518,-0.5207,-0.4256,-0.4224,-0.9937,-0.9954,,0.6114,9.9827,13.9336,7.6437,1.8834,,,,,,,,,QC'd by NIEHS/NTP
840,17389200,6537491,C[C@@H]1CC2([C@@H]3[C@@](O3)(C(O2)O)C)O[C@@H]4[C@H]1[C@]5(CC[C@@]67C[C@@]68CCC(C([C@@H]8CC[C@H]7[C@@]5(C4)C)(C)C)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB13681076-01/37961281,,Inactive,,,,0,,-5.35,0.6,0.6493,-7.3514,0.5,4,0 0 0 0 0 0 0 0 0 1 1 1 1 1,0.6289,0.2919,,0.429,,-0.153,0.6833,0.4428,-1.9403,-0.7474,-0.7283,-2.7928,,-1.7329,-1.8011,0.3687,-1.9046,0.6289,,,,,,,,,QC'd by NIEHS/NTP
841,17389201,6579,C=CC(=O)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08007347-01/37961576,,Inactive,,,,0,,,,,,,4,,0.6551,-0.4113,,0.1609,,0.2753,0.5046,-0.6209,0.2256,0.2469,-0.6307,-1.6978,,-0.4142,-0.4531,0.2346,-0.1988,0.6551,,,,,,,,,QC'd by NIEHS/NTP
842,17389202,2244,CC(=O)OC1=CC=CC=C1C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07976019-01/37961863,,Inactive,,,,0,,,,,,,4,,0.9771,-0.2561,,0.1081,,-0.0495,-0.1057,-0.5211,-0.2557,-0.3366,-0.1555,-0.953,,-0.1087,-0.1461,0.9652,-0.1219,0.9771,,,,,,,,,QC'd by NIEHS/NTP
843,17389203,6537490,C[C@@H]1CC[C@H](C2=C(C[C@H]([C@H]12)OC(=O)C)C)/C=C(\C)/C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB13681088-01/37962094,,Inactive,,,,0,,-5.45,1.3443,0.4004,-6.5468,0,4,0 0 0 0 0 0 0 0 0 1 1 1 1 1,-0.2871,0.1118,,0.2604,,-0.6522,1.8145,-0.3157,-1.0815,-0.6912,-0.1424,-2.1224,,-0.9172,-0.0984,1.2698,-0.5354,-0.2871,,,,,,,,,QC'd by NIEHS/NTP
844,17389204,8035,CC(=O)CCC(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08002801-01/37961728,,Inactive,,,,0,,,,,,,4,,1.0615,0.7183,,0.1501,,0.4755,0.4477,-0.2562,-0.2435,0.6272,-0.3297,-0.4892,,-0.9141,-0.2477,0.7984,0.1273,1.0615,,,,,,,,,QC'd by NIEHS/NTP
845,17389205,1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02540526-01/37962220,,Inactive,,,,0,,,,,,,4,,-0.9948,-0.2162,,1.7148,,-0.3742,0.2693,-0.2456,-0.3282,-0.3106,-0.1691,-0.6734,,-0.1242,-0.0551,-0.0576,-0.155,-0.9948,,,,,,,,,QC'd by NIEHS/NTP
846,17389206,7592,CC(=O)CC(=O)NC1=CC=CC=C1,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080863-01/37961274,,Inactive,,,,0,,,,,,,4,,1.235,-0.162,,1.2641,,1.5041,1.3312,-0.2913,0.9837,-0.2099,0.7667,-0.6952,,-1.0139,0.6061,1.6858,1.0223,1.235,,,,,,,,,QC'd by NIEHS/NTP
847,17389207,7918,CC(=O)OC(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08548334-01/37962015,,Inactive,,,,0,,,,,,,4,,1.761,-1.1297,,1.7369,,0.143,0.3409,-0.6121,0.1208,0.6937,0.6643,-1.3295,,-1.2732,-0.3881,0.45,-0.5677,1.761,,,,,,,,,QC'd by NIEHS/NTP
848,17389208,7765,CCOC(C)OCC,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07944745-01/37961514,,Inactive,,,,0,,-5.55,3.6272,0.3932,-1.6975,0,4,0 0 0 0 0 0 0 0 0 0 1 1 1 1,-0.4554,-0.7174,,0.3951,,0.7182,1.1578,-0.0195,-0.1821,-0.6394,-0.221,-0.3123,,-1.4146,-0.6537,0.5816,0.8049,-0.4554,,,,,,,,,QC'd by NIEHS/NTP
849,17389209,11074431,CC1=CC(=O)[N-]S(=O)(=O)O1.[K+],Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02509401-01/37961170,,Inactive,,,,0,,,,,,,4,,-1.7823,-0.5327,,0.4793,,-0.405,0.7712,-1.7987,-0.8084,0.0422,0.9006,-2.7334,,-2.1958,-0.5004,0.1715,-0.532,-1.7823,,,,,,,,,QC'd by NIEHS/NTP
850,17389210,5375199,CC1=CC(=O)CC(C1(/C=C/C(=C\C(=O)O)/C)O)(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07944767-01/37961081,,Inactive,,,,0,,,,,,,4,,-0.9438,-0.905,,-0.0884,,0.185,-0.3589,-0.6474,0.016,-0.1414,-0.523,-0.6191,,-1.1247,-0.8016,0.327,-0.4152,-0.9438,,,,,,,,,QC'd by NIEHS/NTP
851,17389211,11767,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080875-01/37961493,,Inactive,,,,0,,-4.05,1.1,0.8415,16,0.1073,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,10.0474,-1.1382,,0.9077,,-0.2157,1.4172,0.0914,0.238,-1.1606,0.0572,-0.0913,,2.126,1.3667,3.0625,3.101,10.0474,,,,,,,,,QC'd by NIEHS/NTP
852,17389213,1923,C1=CC2=C(C(=C1)O)N=CC=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08002778-01/37961619,,Inactive,,,,0,,,,,,,4,,0.6812,0.8332,,1.6838,,1.2061,1.0929,1.6622,1.7514,0.7585,0.9355,1.8104,,0.4802,1.2606,1.2363,1.189,0.6812,,,,,,,,,QC'd by NIEHS/NTP
853,17389214,11927,CC1=CC2=C(C=CC=N2)C=C1,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080881-01/37962209,,Inactive,,,,0,,,,,,,4,,0.3062,1.0171,,1.1866,,0.6783,0.1457,-0.5111,-1.0906,0.2897,-0.1626,-1.1782,,0.2452,-0.5457,0.082,1.0071,0.3062,,,,,,,,,QC'd by NIEHS/NTP
854,17389215,7050,CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080899-01/37961627,,Inactive,,,,0,,-4,0.9,0.8095,12,-0.2375,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.6688,-0.6919,,0.3519,,0.347,1.2063,-0.5335,0.1548,0.0726,-0.116,-0.1103,,-1.4479,0.0844,2.978,2.733,6.6688,,,,,,,,,QC'd by NIEHS/NTP
855,17389216,7092,CC1=CC2=C(C=C1)OC(=O)C=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080911-01/37961338,,Inactive,,,,0,,-4.9,1.2221,0.944,16,0.1217,4,0 0 0 0 0 0 0 0 0 0 0 0 1 1,8.6909,0.3966,,0.0355,,0.4551,-0.0249,-0.2602,-0.3152,1.1522,2.0541,0.2321,,4.2235,5.5529,10.7232,6.1806,8.6909,,,,,,,,,QC'd by NIEHS/NTP
856,17389218,6537489,C1=NC2C(N1)C(=S)NC=N2.O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080916-01/37961822,,Inactive,,,,0,,-5.75,1,0.7663,-3.8501,-0.5,4,0 0 0 0 0 0 0 0 0 0 1 1 1 1,-2.1449,-0.9253,,-0.8496,,0.1315,0.1465,-0.9726,-1.0871,-1.267,-1.004,-2.4742,,-2.7917,-1.6603,-2.0867,-2.6227,-2.1449,,,,,,,,,QC'd by NIEHS/NTP
857,17389220,11356,CC1=CC(=C(C=C1)[N+](=O)[O-])N,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07995155-01/37961677,,Inactive,,,,0,,-6.45,2.3332,0.8459,6,-0.1935,4,0 0 0 0 0 0 0 1 1 1 1 1 1 1,0.1471,0.2259,,0.2638,,-0.5221,0.0832,-0.5779,-0.1507,3.2686,-0.9596,0.0076,,-1.0466,-0.8973,0.5176,0.1122,0.1471,,,,,,,,,QC'd by NIEHS/NTP
858,17389221,2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080854-01/37962197,,Inactive,,,,0,,-6.3,0.8,0.9962,16.5,-1.1909,4,0 0 0 0 0 0 0 0 0 0 1 1 1 1,1.47,-0.9924,,-0.9884,,0.1476,0.534,1.4736,4.0505,6.363,9.2944,12.4498,,13.2087,5.6365,3.5585,4.2294,1.47,,,,,,,,,QC'd by NIEHS/NTP
859,17389222,76063,CC1=NC2=C(N1)C=C(C=C2)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08582955-01/37960993,,Inactive,,,,0,,,,,,,4,,3.5776,-0.3531,,-0.4441,,0.1805,0.0771,0.1559,0.0641,-0.0428,-0.0362,-1.2235,,-1.2362,-0.283,1.2709,1.4969,3.5776,,,,,,,,,QC'd by NIEHS/NTP
860,17389223,6035,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)CO)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02540563-01/37961854,,Inactive,,,,0,,,,,,,4,,0.8767,-0.2177,,0.9517,,1.2501,0.9004,1.0062,0.1701,-0.2752,0.7369,-0.3654,,1.7707,-0.231,1.2978,0.9846,0.8767,,,,,,,,,QC'd by NIEHS/NTP
861,17389224,4075,C1=CC(=C(C=C1N)C(=O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07944050-01/37961641,,Inactive,,,,0,,,,,,,4,,0.023,-0.386,,1.5248,,-0.1119,0.0777,0.0038,0.6738,0.1369,-0.2512,-1.0243,,0.1371,0.3136,0.8068,-0.2988,0.023,,,,,,,,,QC'd by NIEHS/NTP
862,17389226,22574,C1=C(C=C(C(=C1C(=O)O)O)S(=O)(=O)O)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08582945-01/37961353,,Inactive,,,,0,,-5.3,1.331,0.569,-6.4514,-0.5,4,0 0 0 0 0 0 0 0 0 0 1 1 1 1,-2.4947,-0.4139,,0.0111,,-0.7947,0.1218,-0.0983,-1.7962,-0.5477,0.4335,-2.5582,,-2.8762,-0.0064,-0.1294,0.4595,-2.4947,,,,,,,,,QC'd by NIEHS/NTP
863,17389227,5354284,CC1=CC(=O)OC2=CC(=CC(=C12)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080928-01/37961987,,Inactive,,,,0,,,,,,,4,,8.7847,2.5567,,0.8552,,0.9639,1.5961,-0.4829,-1.4078,0.5032,0.3559,-0.1967,,-0.3834,1.279,0.0709,1.5315,8.7847,,,,,,,,,QC'd by NIEHS/NTP
864,17389228,80642,C1=C(OC(=C1)C(=O)O)CO,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08007614-01/37961233,,Inactive,,,,0,,-5.3,1.1341,0.4444,-5.8405,0,4,0 0 0 0 0 0 0 0 0 1 1 1 1 1,-0.7344,-0.1924,,0.2983,,0.2028,1.1477,-0.6269,0.1415,-1.0558,-0.1571,-1.5338,,-0.9199,-0.7293,0.0659,0.0322,-0.7344,,,,,,,,,QC'd by NIEHS/NTP
865,17389229,237332,C1=C(OC(=C1)C=O)CO,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08006279-01/37961172,,Inactive,,,,0,,,,,,,4,,-1.7121,-0.1626,,0.3317,,0.0191,0.3917,-1.1332,-0.6089,-0.6288,0.0633,-1.048,,-1.4774,0.0909,0.3028,-0.6973,-1.7121,,,,,,,,,QC'd by NIEHS/NTP
